Domain,Area,Element,Item,Year,Value
"Emissions intensities","Armenia","Emissions intensity","Meat of cattle with the bone, fresh or chilled","2021","6.9848"
"Emissions intensities","Armenia","Emissions intensity","Meat of goat, fresh or chilled","2021","51.0759"
"Emissions intensities","Armenia","Emissions intensity","Meat of sheep, fresh or chilled","2021","3.6575"
"Emissions intensities","Armenia","Emissions intensity","Meat of chickens, fresh or chilled","2021","0.6959"
"Emissions intensities","Armenia","Emissions intensity","Meat of pig with the bone, fresh or chilled","2021","2.437"
"Emissions intensities","Australia","Emissions intensity","Meat of cattle with the bone, fresh or chilled","2021","28.1519"
"Emissions intensities","Australia","Emissions intensity","Meat of goat, fresh or chilled","2021","63.4032"
"Emissions intensities","Australia","Emissions intensity","Meat of sheep, fresh or chilled","2021","36.3208"
"Emissions intensities","Australia","Emissions intensity","Meat of chickens, fresh or chilled","2021","0.2541"
"Emissions intensities","Australia","Emissions intensity","Meat of pig with the bone, fresh or chilled","2021","3.0073"
"Emissions intensities","Austria","Emissions intensity","Meat of cattle with the bone, fresh or chilled","2021","13.761"
"Emissions intensities","Austria","Emissions intensity","Meat of goat, fresh or chilled","2021","13.8532"
"Emissions intensities","Austria","Emissions intensity","Meat of sheep, fresh or chilled","2021","17.9025"
"Emissions intensities","Austria","Emissions intensity","Meat of chickens, fresh or chilled","2021","0.2642"
"Emissions intensities","Austria","Emissions intensity","Meat of pig with the bone, fresh or chilled","2021","1.6072"
"Emissions intensities","Azerbaijan","Emissions intensity","Meat of cattle with the bone, fresh or chilled","2021","11.596"
"Emissions intensities","Azerbaijan","Emissions intensity","Meat of sheep, fresh or chilled","2021","17.0672"
"Emissions intensities","Azerbaijan","Emissions intensity","Meat of chickens, fresh or chilled","2021","0.4725"
"Emissions intensities","Azerbaijan","Emissions intensity","Meat of pig with the bone, fresh or chilled","2021","2.8133"
"Emissions intensities","Bahamas","Emissions intensity","Meat of cattle with the bone, fresh or chilled","2021","7.5862"
"Emissions intensities","Bahamas","Emissions intensity","Meat of goat, fresh or chilled","2021","25.3089"
"Emissions intensities","Bahamas","Emissions intensity","Meat of sheep, fresh or chilled","2021","47.4402"
"Emissions intensities","Bahamas","Emissions intensity","Meat of chickens, fresh or chilled","2021","1.8639"
"Emissions intensities","Bahamas","Emissions intensity","Meat of pig with the bone, fresh or chilled","2021","2.8323"
"Emissions intensities","Bahrain","Emissions intensity","Meat of cattle with the bone, fresh or chilled","2021","5.6532"
"Emissions intensities","Bahrain","Emissions intensity","Meat of goat, fresh or chilled","2021","21.0284"
"Emissions intensities","Bahrain","Emissions intensity","Meat of sheep, fresh or chilled","2021","0.5025"
"Emissions intensities","Bahrain","Emissions intensity","Meat of chickens, fresh or chilled","2021","0.62"
"Emissions intensities","Bangladesh","Emissions intensity","Meat of cattle with the bone, fresh or chilled","2021","92.9556"
"Emissions intensities","Bangladesh","Emissions intensity","Meat of goat, fresh or chilled","2021","31.1083"
"Emissions intensities","Bangladesh","Emissions intensity","Meat of buffalo, fresh or chilled","2021","390.2362"
"Emissions intensities","Bangladesh","Emissions intensity","Meat of sheep, fresh or chilled","2021","67.4779"
"Emissions intensities","Bangladesh","Emissions intensity","Meat of chickens, fresh or chilled","2021","1.5058"
"Emissions intensities","Barbados","Emissions intensity","Meat of cattle with the bone, fresh or chilled","2021","108.598"
"Emissions intensities","Barbados","Emissions intensity","Meat of goat, fresh or chilled","2021","44.2161"
"Emissions intensities","Barbados","Emissions intensity","Meat of sheep, fresh or chilled","2021","45.3249"
"Emissions intensities","Barbados","Emissions intensity","Meat of chickens, fresh or chilled","2021","0.9401"
"Emissions intensities","Barbados","Emissions intensity","Meat of pig with the bone, fresh or chilled","2021","2.1679"
"Emissions intensities","Belarus","Emissions intensity","Meat of cattle with the bone, fresh or chilled","2021","17.527"
"Emissions intensities","Belarus","Emissions intensity","Meat of sheep, fresh or chilled","2021","23.3529"
"Emissions intensities","Belarus","Emissions intensity","Meat of chickens, fresh or chilled","2021","0.0958"
"Emissions intensities","Belarus","Emissions intensity","Meat of pig with the bone, fresh or chilled","2021","1.3611"
"Emissions intensities","Belgium","Emissions intensity","Meat of cattle with the bone, fresh or chilled","2021","15.7072"
"Emissions intensities","Belgium","Emissions intensity","Meat of goat, fresh or chilled","2021","21.7364"
"Emissions intensities","Belgium","Emissions intensity","Meat of sheep, fresh or chilled","2021","9.6997"
"Emissions intensities","Belgium","Emissions intensity","Meat of chickens, fresh or chilled","2021","0.1941"
"Emissions intensities","Belgium","Emissions intensity","Meat of pig with the bone, fresh or chilled","2021","1.5354"
"Emissions intensities","Belize","Emissions intensity","Meat of cattle with the bone, fresh or chilled","2021","128.0157"
"Emissions intensities","Belize","Emissions intensity","Meat of goat, fresh or chilled","2021","47.9787"
"Emissions intensities","Belize","Emissions intensity","Meat of sheep, fresh or chilled","2021","87.5418"
"Emissions intensities","Belize","Emissions intensity","Meat of chickens, fresh or chilled","2021","0.2205"
"Emissions intensities","Belize","Emissions intensity","Meat of pig with the bone, fresh or chilled","2021","2.6373"
"Emissions intensities","Benin","Emissions intensity","Meat of cattle with the bone, fresh or chilled","2021","76.3329"
"Emissions intensities","Benin","Emissions intensity","Meat of goat, fresh or chilled","2021","49.4101"
"Emissions intensities","Benin","Emissions intensity","Meat of sheep, fresh or chilled","2021","26.081"
"Emissions intensities","Benin","Emissions intensity","Meat of chickens, fresh or chilled","2021","3.2187"
"Emissions intensities","Benin","Emissions intensity","Meat of pig with the bone, fresh or chilled","2021","17.359"
"Emissions intensities","Bhutan","Emissions intensity","Meat of cattle with the bone, fresh or chilled","2021","182.8246"
"Emissions intensities","Bhutan","Emissions intensity","Meat of goat, fresh or chilled","2021","38.2201"
"Emissions intensities","Bhutan","Emissions intensity","Meat of buffalo, fresh or chilled","2021","589.121"
"Emissions intensities","Bhutan","Emissions intensity","Meat of sheep, fresh or chilled","2021","14.4793"
"Emissions intensities","Bhutan","Emissions intensity","Meat of chickens, fresh or chilled","2021","0.69"
"Emissions intensities","Bhutan","Emissions intensity","Meat of pig with the bone, fresh or chilled","2021","3.9629"
"Emissions intensities","Bolivia (Plurinational State of)","Emissions intensity","Meat of cattle with the bone, fresh or chilled","2021","71.5454"
"Emissions intensities","Bolivia (Plurinational State of)","Emissions intensity","Meat of goat, fresh or chilled","2021","57.1751"
"Emissions intensities","Bolivia (Plurinational State of)","Emissions intensity","Meat of sheep, fresh or chilled","2021","45.5263"
"Emissions intensities","Bolivia (Plurinational State of)","Emissions intensity","Meat of chickens, fresh or chilled","2021","1.4566"
"Emissions intensities","Bolivia (Plurinational State of)","Emissions intensity","Meat of pig with the bone, fresh or chilled","2021","6.0014"
"Emissions intensities","Bosnia and Herzegovina","Emissions intensity","Meat of cattle with the bone, fresh or chilled","2021","35.2241"
"Emissions intensities","Bosnia and Herzegovina","Emissions intensity","Meat of sheep, fresh or chilled","2021","235.831"
"Emissions intensities","Bosnia and Herzegovina","Emissions intensity","Meat of chickens, fresh or chilled","2021","0.3273"
"Emissions intensities","Bosnia and Herzegovina","Emissions intensity","Meat of pig with the bone, fresh or chilled","2021","19.251"
"Emissions intensities","Botswana","Emissions intensity","Meat of cattle with the bone, fresh or chilled","2021","31.336"
"Emissions intensities","Botswana","Emissions intensity","Meat of goat, fresh or chilled","2021","63.2256"
"Emissions intensities","Botswana","Emissions intensity","Meat of sheep, fresh or chilled","2021","37.51"
"Emissions intensities","Botswana","Emissions intensity","Meat of chickens, fresh or chilled","2021","0.2085"
"Emissions intensities","Botswana","Emissions intensity","Meat of pig with the bone, fresh or chilled","2021","1.5283"
"Emissions intensities","Brazil","Emissions intensity","Meat of cattle with the bone, fresh or chilled","2021","42.799"
"Emissions intensities","Brazil","Emissions intensity","Meat of goat, fresh or chilled","2021","37.6544"
"Emissions intensities","Brazil","Emissions intensity","Meat of sheep, fresh or chilled","2021","43.0869"
"Emissions intensities","Brazil","Emissions intensity","Meat of chickens, fresh or chilled","2021","0.3287"
"Emissions intensities","Brazil","Emissions intensity","Meat of pig with the bone, fresh or chilled","2021","2.0641"
"Emissions intensities","Brunei Darussalam","Emissions intensity","Meat of cattle with the bone, fresh or chilled","2021","0.1407"
"Emissions intensities","Brunei Darussalam","Emissions intensity","Meat of goat, fresh or chilled","2021","23.9966"
"Emissions intensities","Brunei Darussalam","Emissions intensity","Meat of buffalo, fresh or chilled","2021","3.0498"
"Emissions intensities","Brunei Darussalam","Emissions intensity","Meat of sheep, fresh or chilled","2021","33.32"
"Emissions intensities","Brunei Darussalam","Emissions intensity","Meat of chickens, fresh or chilled","2021","2.4376"
"Emissions intensities","Brunei Darussalam","Emissions intensity","Meat of pig with the bone, fresh or chilled","2021","6.516"
"Emissions intensities","Bulgaria","Emissions intensity","Meat of cattle with the bone, fresh or chilled","2021","46.081"
"Emissions intensities","Bulgaria","Emissions intensity","Meat of goat, fresh or chilled","2021","3.44"
"Emissions intensities","Bulgaria","Emissions intensity","Meat of sheep, fresh or chilled","2021","11.7291"
"Emissions intensities","Bulgaria","Emissions intensity","Meat of chickens, fresh or chilled","2021","0.4816"
"Emissions intensities","Bulgaria","Emissions intensity","Meat of pig with the bone, fresh or chilled","2021","1.8291"
"Emissions intensities","Burkina Faso","Emissions intensity","Meat of cattle with the bone, fresh or chilled","2021","102.2895"
"Emissions intensities","Burkina Faso","Emissions intensity","Meat of goat, fresh or chilled","2021","68.9923"
"Emissions intensities","Burkina Faso","Emissions intensity","Meat of sheep, fresh or chilled","2021","92.631"
"Emissions intensities","Burkina Faso","Emissions intensity","Meat of chickens, fresh or chilled","2021","0.4709"
"Emissions intensities","Burkina Faso","Emissions intensity","Meat of pig with the bone, fresh or chilled","2021","2.2691"
"Emissions intensities","Burundi","Emissions intensity","Meat of cattle with the bone, fresh or chilled","2021","74.7953"
"Emissions intensities","Burundi","Emissions intensity","Meat of goat, fresh or chilled","2021","73.0805"
"Emissions intensities","Burundi","Emissions intensity","Meat of sheep, fresh or chilled","2021","154.078"
"Emissions intensities","Burundi","Emissions intensity","Meat of chickens, fresh or chilled","2021","1.0274"
"Emissions intensities","Burundi","Emissions intensity","Meat of pig with the bone, fresh or chilled","2021","21.4507"
"Emissions intensities","Cabo Verde","Emissions intensity","Meat of cattle with the bone, fresh or chilled","2021","42.0982"
"Emissions intensities","Cabo Verde","Emissions intensity","Meat of goat, fresh or chilled","2021","8.4721"
"Emissions intensities","Cabo Verde","Emissions intensity","Meat of sheep, fresh or chilled","2021","49.3556"
"Emissions intensities","Cabo Verde","Emissions intensity","Meat of chickens, fresh or chilled","2021","4.0108"
"Emissions intensities","Cabo Verde","Emissions intensity","Meat of pig with the bone, fresh or chilled","2021","7.3332"
"Emissions intensities","Cambodia","Emissions intensity","Meat of cattle with the bone, fresh or chilled","2021","88.5636"
"Emissions intensities","Cambodia","Emissions intensity","Meat of buffalo, fresh or chilled","2021","191.0205"
"Emissions intensities","Cambodia","Emissions intensity","Meat of chickens, fresh or chilled","2021","1.6662"
"Emissions intensities","Cambodia","Emissions intensity","Meat of pig with the bone, fresh or chilled","2021","5.123"
"Emissions intensities","Cameroon","Emissions intensity","Meat of cattle with the bone, fresh or chilled","2021","90.0821"
"Emissions intensities","Cameroon","Emissions intensity","Meat of goat, fresh or chilled","2021","56.5195"
"Emissions intensities","Cameroon","Emissions intensity","Meat of sheep, fresh or chilled","2021","37.9"
"Emissions intensities","Cameroon","Emissions intensity","Meat of chickens, fresh or chilled","2021","2.4628"
"Emissions intensities","Cameroon","Emissions intensity","Meat of pig with the bone, fresh or chilled","2021","16.823"
"Emissions intensities","Canada","Emissions intensity","Meat of cattle with the bone, fresh or chilled","2021","14.4099"
"Emissions intensities","Canada","Emissions intensity","Meat of sheep, fresh or chilled","2021","12.2817"
"Emissions intensities","Canada","Emissions intensity","Meat of chickens, fresh or chilled","2021","0.3512"
"Emissions intensities","Canada","Emissions intensity","Meat of pig with the bone, fresh or chilled","2021","2.2975"
"Emissions intensities","Central African Republic","Emissions intensity","Meat of cattle with the bone, fresh or chilled","2021","55.7346"
"Emissions intensities","Central African Republic","Emissions intensity","Meat of goat, fresh or chilled","2021","64.1284"
"Emissions intensities","Central African Republic","Emissions intensity","Meat of sheep, fresh or chilled","2021","37.3675"
"Emissions intensities","Central African Republic","Emissions intensity","Meat of chickens, fresh or chilled","2021","3.9898"
"Emissions intensities","Central African Republic","Emissions intensity","Meat of pig with the bone, fresh or chilled","2021","14.2385"
"Emissions intensities","Chad","Emissions intensity","Meat of cattle with the bone, fresh or chilled","2021","84.2468"
"Emissions intensities","Chad","Emissions intensity","Meat of goat, fresh or chilled","2021","70.9091"
"Emissions intensities","Chad","Emissions intensity","Meat of sheep, fresh or chilled","2021","42.9766"
"Emissions intensities","Chad","Emissions intensity","Meat of chickens, fresh or chilled","2021","3.0789"
"Emissions intensities","Chad","Emissions intensity","Meat of pig with the bone, fresh or chilled","2021","11.3302"
"Emissions intensities","Chile","Emissions intensity","Meat of cattle with the bone, fresh or chilled","2021","23.176"
"Emissions intensities","Chile","Emissions intensity","Meat of goat, fresh or chilled","2021","8.9958"
"Emissions intensities","Chile","Emissions intensity","Meat of sheep, fresh or chilled","2021","44.7576"
"Emissions intensities","Chile","Emissions intensity","Meat of chickens, fresh or chilled","2021","0.5221"
"Emissions intensities","Chile","Emissions intensity","Meat of pig with the bone, fresh or chilled","2021","1.035"
"Emissions intensities","China","Emissions intensity","Meat of cattle with the bone, fresh or chilled","2021","12.379"
"Emissions intensities","China","Emissions intensity","Meat of goat, fresh or chilled","2021","11.8427"
"Emissions intensities","China","Emissions intensity","Meat of buffalo, fresh or chilled","2021","66.2487"
"Emissions intensities","China","Emissions intensity","Meat of sheep, fresh or chilled","2021","11.6045"
"Emissions intensities","China","Emissions intensity","Meat of chickens, fresh or chilled","2021","0.4502"
"Emissions intensities","China","Emissions intensity","Meat of pig with the bone, fresh or chilled","2021","1.0944"
"Emissions intensities","China, Hong Kong SAR","Emissions intensity","Meat of cattle with the bone, fresh or chilled","2021","0.4196"
"Emissions intensities","China, Hong Kong SAR","Emissions intensity","Meat of goat, fresh or chilled","2021","1.7824"
"Emissions intensities","China, Hong Kong SAR","Emissions intensity","Meat of sheep, fresh or chilled","2021","19.4112"
"Emissions intensities","China, Hong Kong SAR","Emissions intensity","Meat of chickens, fresh or chilled","2021","0.4809"
"Emissions intensities","China, Hong Kong SAR","Emissions intensity","Meat of pig with the bone, fresh or chilled","2021","0.2013"
"Emissions intensities","China, Macao SAR","Emissions intensity","Meat of chickens, fresh or chilled","2021","0.789"
"Emissions intensities","China, mainland","Emissions intensity","Meat of cattle with the bone, fresh or chilled","2021","12.3808"
"Emissions intensities","China, mainland","Emissions intensity","Meat of goat, fresh or chilled","2021","12.2531"
"Emissions intensities","China, mainland","Emissions intensity","Meat of buffalo, fresh or chilled","2021","66.2871"
"Emissions intensities","China, mainland","Emissions intensity","Meat of sheep, fresh or chilled","2021","11.6044"
"Emissions intensities","China, mainland","Emissions intensity","Meat of chickens, fresh or chilled","2021","0.4566"
"Emissions intensities","China, mainland","Emissions intensity","Meat of pig with the bone, fresh or chilled","2021","1.0915"
"Emissions intensities","China, Taiwan Province of","Emissions intensity","Meat of cattle with the bone, fresh or chilled","2021","22.7052"
"Emissions intensities","China, Taiwan Province of","Emissions intensity","Meat of goat, fresh or chilled","2021","0.2353"
"Emissions intensities","China, Taiwan Province of","Emissions intensity","Meat of buffalo, fresh or chilled","2021","9.1686"
"Emissions intensities","China, Taiwan Province of","Emissions intensity","Meat of chickens, fresh or chilled","2021","0.3095"
"Emissions intensities","China, Taiwan Province of","Emissions intensity","Meat of pig with the bone, fresh or chilled","2021","1.4106"
"Emissions intensities","Colombia","Emissions intensity","Meat of cattle with the bone, fresh or chilled","2021","67.8346"
"Emissions intensities","Colombia","Emissions intensity","Meat of goat, fresh or chilled","2021","620.2106"
"Emissions intensities","Colombia","Emissions intensity","Meat of buffalo, fresh or chilled","2021","110.1571"
"Emissions intensities","Colombia","Emissions intensity","Meat of sheep, fresh or chilled","2021","679.2765"
"Emissions intensities","Colombia","Emissions intensity","Meat of chickens, fresh or chilled","2021","0.3485"
"Emissions intensities","Colombia","Emissions intensity","Meat of pig with the bone, fresh or chilled","2021","2.6684"
"Emissions intensities","Comoros","Emissions intensity","Meat of cattle with the bone, fresh or chilled","2021","43.5199"
"Emissions intensities","Comoros","Emissions intensity","Meat of goat, fresh or chilled","2021","75.6013"
"Emissions intensities","Comoros","Emissions intensity","Meat of sheep, fresh or chilled","2021","56.6183"
"Emissions intensities","Comoros","Emissions intensity","Meat of chickens, fresh or chilled","2021","2.3557"
"Emissions intensities","Congo","Emissions intensity","Meat of cattle with the bone, fresh or chilled","2021","76.0481"
"Emissions intensities","Congo","Emissions intensity","Meat of goat, fresh or chilled","2021","71.9727"
"Emissions intensities","Congo","Emissions intensity","Meat of sheep, fresh or chilled","2021","60.1629"
"Emissions intensities","Congo","Emissions intensity","Meat of chickens, fresh or chilled","2021","1.4771"
"Emissions intensities","Congo","Emissions intensity","Meat of pig with the bone, fresh or chilled","2021","17.0005"
"Emissions intensities","Cook Islands","Emissions intensity","Meat of cattle with the bone, fresh or chilled","2021","70.1195"
"Emissions intensities","Cook Islands","Emissions intensity","Meat of goat, fresh or chilled","2021","229.6666"
"Emissions intensities","Cook Islands","Emissions intensity","Meat of chickens, fresh or chilled","2021","2.1925"
"Emissions intensities","Cook Islands","Emissions intensity","Meat of pig with the bone, fresh or chilled","2021","32.5337"
"Emissions intensities","Costa Rica","Emissions intensity","Meat of cattle with the bone, fresh or chilled","2021","10.066"
"Emissions intensities","Costa Rica","Emissions intensity","Meat of goat, fresh or chilled","2021","9.8758"
"Emissions intensities","Costa Rica","Emissions intensity","Meat of sheep, fresh or chilled","2021","40.5432"
"Emissions intensities","Costa Rica","Emissions intensity","Meat of chickens, fresh or chilled","2021","0.5631"
"Emissions intensities","Costa Rica","Emissions intensity","Meat of pig with the bone, fresh or chilled","2021","1.2835"
"Emissions intensities","Côte d'Ivoire","Emissions intensity","Meat of cattle with the bone, fresh or chilled","2021","50.6109"
"Emissions intensities","Côte d'Ivoire","Emissions intensity","Meat of goat, fresh or chilled","2021","105.6817"
"Emissions intensities","Côte d'Ivoire","Emissions intensity","Meat of sheep, fresh or chilled","2021","56.8765"
"Emissions intensities","Côte d'Ivoire","Emissions intensity","Meat of chickens, fresh or chilled","2021","4.8291"
"Emissions intensities","Côte d'Ivoire","Emissions intensity","Meat of pig with the bone, fresh or chilled","2021","9.5232"
"Emissions intensities","Croatia","Emissions intensity","Meat of cattle with the bone, fresh or chilled","2021","16.6906"
"Emissions intensities","Croatia","Emissions intensity","Meat of goat, fresh or chilled","2021","10.075"
"Emissions intensities","Croatia","Emissions intensity","Meat of sheep, fresh or chilled","2021","32.7026"
"Emissions intensities","Croatia","Emissions intensity","Meat of chickens, fresh or chilled","2021","0.2664"
"Emissions intensities","Croatia","Emissions intensity","Meat of pig with the bone, fresh or chilled","2021","2.3159"
"Emissions intensities","Cuba","Emissions intensity","Meat of cattle with the bone, fresh or chilled","2021","107.6403"
"Emissions intensities","Cuba","Emissions intensity","Meat of goat, fresh or chilled","2021","18.355"
"Emissions intensities","Cuba","Emissions intensity","Meat of sheep, fresh or chilled","2021","18.1848"
"Emissions intensities","Cuba","Emissions intensity","Meat of chickens, fresh or chilled","2021","4.0478"
"Emissions intensities","Cuba","Emissions intensity","Meat of pig with the bone, fresh or chilled","2021","3.3529"
"Emissions intensities","Cyprus","Emissions intensity","Meat of cattle with the bone, fresh or chilled","2021","10.4929"
"Emissions intensities","Cyprus","Emissions intensity","Meat of goat, fresh or chilled","2021","9.8362"
"Emissions intensities","Cyprus","Emissions intensity","Meat of sheep, fresh or chilled","2021","10.6399"
"Emissions intensities","Cyprus","Emissions intensity","Meat of chickens, fresh or chilled","2021","0.3071"
"Emissions intensities","Cyprus","Emissions intensity","Meat of pig with the bone, fresh or chilled","2021","2.3998"
"Emissions intensities","Czechia","Emissions intensity","Meat of cattle with the bone, fresh or chilled","2021","29.4309"
"Emissions intensities","Czechia","Emissions intensity","Meat of goat, fresh or chilled","2021","8.2588"
"Emissions intensities","Czechia","Emissions intensity","Meat of sheep, fresh or chilled","2021","11.8602"
"Emissions intensities","Czechia","Emissions intensity","Meat of chickens, fresh or chilled","2021","0.3204"
"Emissions intensities","Czechia","Emissions intensity","Meat of pig with the bone, fresh or chilled","2021","1.3963"
"Emissions intensities","Democratic People's Republic of Korea","Emissions intensity","Meat of cattle with the bone, fresh or chilled","2021","46.693"
"Emissions intensities","Democratic People's Republic of Korea","Emissions intensity","Meat of goat, fresh or chilled","2021","63.9646"
"Emissions intensities","Democratic People's Republic of Korea","Emissions intensity","Meat of sheep, fresh or chilled","2021","35.8182"
"Emissions intensities","Democratic People's Republic of Korea","Emissions intensity","Meat of chickens, fresh or chilled","2021","0.1162"
"Emissions intensities","Democratic People's Republic of Korea","Emissions intensity","Meat of pig with the bone, fresh or chilled","2021","2.7051"
"Emissions intensities","Democratic Republic of the Congo","Emissions intensity","Meat of cattle with the bone, fresh or chilled","2021","90.5206"
"Emissions intensities","Democratic Republic of the Congo","Emissions intensity","Meat of goat, fresh or chilled","2021","51.9441"
"Emissions intensities","Democratic Republic of the Congo","Emissions intensity","Meat of sheep, fresh or chilled","2021","69.9126"
"Emissions intensities","Democratic Republic of the Congo","Emissions intensity","Meat of chickens, fresh or chilled","2021","6.2707"
"Emissions intensities","Democratic Republic of the Congo","Emissions intensity","Meat of pig with the bone, fresh or chilled","2021","8.5494"
"Emissions intensities","Denmark","Emissions intensity","Meat of cattle with the bone, fresh or chilled","2021","16.334"
"Emissions intensities","Denmark","Emissions intensity","Meat of sheep, fresh or chilled","2021","31.3609"
"Emissions intensities","Denmark","Emissions intensity","Meat of chickens, fresh or chilled","2021","0.3269"
"Emissions intensities","Denmark","Emissions intensity","Meat of pig with the bone, fresh or chilled","2021","2.2104"
"Emissions intensities","Djibouti","Emissions intensity","Meat of cattle with the bone, fresh or chilled","2021","58.0371"
"Emissions intensities","Djibouti","Emissions intensity","Meat of goat, fresh or chilled","2021","53.4439"
"Emissions intensities","Djibouti","Emissions intensity","Meat of sheep, fresh or chilled","2021","45.7068"
"Emissions intensities","Dominica","Emissions intensity","Meat of cattle with the bone, fresh or chilled","2021","23.6966"
"Emissions intensities","Dominica","Emissions intensity","Meat of goat, fresh or chilled","2021","55.547"
"Emissions intensities","Dominica","Emissions intensity","Meat of sheep, fresh or chilled","2021","69.1382"
"Emissions intensities","Dominica","Emissions intensity","Meat of chickens, fresh or chilled","2021","1.5558"
"Emissions intensities","Dominica","Emissions intensity","Meat of pig with the bone, fresh or chilled","2021","2.5232"
"Emissions intensities","Dominican Republic","Emissions intensity","Meat of cattle with the bone, fresh or chilled","2021","79.9825"
"Emissions intensities","Dominican Republic","Emissions intensity","Meat of goat, fresh or chilled","2021","62.0961"
"Emissions intensities","Dominican Republic","Emissions intensity","Meat of sheep, fresh or chilled","2021","61.4472"
"Emissions intensities","Dominican Republic","Emissions intensity","Meat of chickens, fresh or chilled","2021","1.8219"
"Emissions intensities","Dominican Republic","Emissions intensity","Meat of pig with the bone, fresh or chilled","2021","1.5255"
"Emissions intensities","Ecuador","Emissions intensity","Meat of cattle with the bone, fresh or chilled","2021","28.1207"
"Emissions intensities","Ecuador","Emissions intensity","Meat of goat, fresh or chilled","2021","8.9726"
"Emissions intensities","Ecuador","Emissions intensity","Meat of sheep, fresh or chilled","2021","12.6056"
"Emissions intensities","Ecuador","Emissions intensity","Meat of chickens, fresh or chilled","2021","1.334"
"Emissions intensities","Ecuador","Emissions intensity","Meat of pig with the bone, fresh or chilled","2021","0.9964"
"Emissions intensities","Egypt","Emissions intensity","Meat of cattle with the bone, fresh or chilled","2021","3.9725"
"Emissions intensities","Egypt","Emissions intensity","Meat of goat, fresh or chilled","2021","0.767"
"Emissions intensities","Egypt","Emissions intensity","Meat of buffalo, fresh or chilled","2021","7.2534"
"Emissions intensities","Egypt","Emissions intensity","Meat of sheep, fresh or chilled","2021","2.8488"
"Emissions intensities","Egypt","Emissions intensity","Meat of chickens, fresh or chilled","2021","0.2577"
"Emissions intensities","Egypt","Emissions intensity","Meat of pig with the bone, fresh or chilled","2021","3.7482"
"Emissions intensities","El Salvador","Emissions intensity","Meat of cattle with the bone, fresh or chilled","2021","48.2306"
"Emissions intensities","El Salvador","Emissions intensity","Meat of goat, fresh or chilled","2021","41.9896"
"Emissions intensities","El Salvador","Emissions intensity","Meat of sheep, fresh or chilled","2021","31.7596"
"Emissions intensities","El Salvador","Emissions intensity","Meat of chickens, fresh or chilled","2021","0.3217"
"Emissions intensities","El Salvador","Emissions intensity","Meat of pig with the bone, fresh or chilled","2021","8.466"
"Emissions intensities","Equatorial Guinea","Emissions intensity","Meat of cattle with the bone, fresh or chilled","2021","131.3432"
