Domain,Area,Element,Item,Year,Source,Value
"Emissions from Livestock","Armenia","Stocks","Cattle, dairy","2021","FAO TIER 1","284923"
"Emissions from Livestock","Armenia","Stocks","Cattle, non-dairy","2021","FAO TIER 1","295644"
"Emissions from Livestock","Armenia","Stocks","Chickens, broilers","2021","FAO TIER 1","1550560"
"Emissions from Livestock","Armenia","Stocks","Chickens, layers","2021","FAO TIER 1","2767440"
"Emissions from Livestock","Armenia","Stocks","Goats","2021","FAO TIER 1","22522"
"Emissions from Livestock","Armenia","Stocks","Horses","2021","FAO TIER 1","11859"
"Emissions from Livestock","Armenia","Stocks","Mules and hinnies","2021","FAO TIER 1","13"
"Emissions from Livestock","Armenia","Stocks","Sheep","2021","FAO TIER 1","631094"
"Emissions from Livestock","Armenia","Stocks","Swine, breeding","2021","FAO TIER 1","19596"
"Emissions from Livestock","Armenia","Stocks","Swine, market","2021","FAO TIER 1","176365"
"Emissions from Livestock","Armenia","Stocks","Turkeys","2021","FAO TIER 1","146846"
"Emissions from Livestock","Australia","Stocks","Asses","2021","FAO TIER 1","1896"
"Emissions from Livestock","Australia","Stocks","Cattle, dairy","2021","FAO TIER 1","1384000"
"Emissions from Livestock","Australia","Stocks","Cattle, non-dairy","2021","FAO TIER 1","23047174"
"Emissions from Livestock","Australia","Stocks","Chickens, broilers","2021","FAO TIER 1","94380000"
"Emissions from Livestock","Australia","Stocks","Chickens, layers","2021","FAO TIER 1","16809000"
"Emissions from Livestock","Australia","Stocks","Ducks","2021","FAO TIER 1","1114040"
"Emissions from Livestock","Australia","Stocks","Goats","2021","FAO TIER 1","3933693"
"Emissions from Livestock","Australia","Stocks","Horses","2021","FAO TIER 1","217402"
"Emissions from Livestock","Australia","Stocks","Sheep","2021","FAO TIER 1","68047402"
"Emissions from Livestock","Australia","Stocks","Swine, breeding","2021","FAO TIER 1","257760"
"Emissions from Livestock","Australia","Stocks","Swine, market","2021","FAO TIER 1","2319837"
"Emissions from Livestock","Australia","Stocks","Turkeys","2021","FAO TIER 1","1074847"
"Emissions from Livestock","Austria","Stocks","Cattle, dairy","2021","FAO TIER 1","526460"
"Emissions from Livestock","Austria","Stocks","Cattle, non-dairy","2021","FAO TIER 1","1343640"
"Emissions from Livestock","Austria","Stocks","Chickens, broilers","2021","FAO TIER 1","9819720"
"Emissions from Livestock","Austria","Stocks","Chickens, layers","2021","FAO TIER 1","7007751"
"Emissions from Livestock","Austria","Stocks","Ducks","2021","FAO TIER 1","60875"
"Emissions from Livestock","Austria","Stocks","Goats","2021","FAO TIER 1","100600"
"Emissions from Livestock","Austria","Stocks","Horses","2021","FAO TIER 1","94646"
"Emissions from Livestock","Austria","Stocks","Sheep","2021","FAO TIER 1","402350"
"Emissions from Livestock","Austria","Stocks","Swine, breeding","2021","FAO TIER 1","278559"
"Emissions from Livestock","Austria","Stocks","Swine, market","2021","FAO TIER 1","2507031"
"Emissions from Livestock","Austria","Stocks","Turkeys","2021","FAO TIER 1","577954"
"Emissions from Livestock","Azerbaijan","Stocks","Asses","2021","FAO TIER 1","21047"
"Emissions from Livestock","Azerbaijan","Stocks","Buffalo","2021","FAO TIER 1","129137"
"Emissions from Livestock","Azerbaijan","Stocks","Camels","2021","FAO TIER 1","332"
"Emissions from Livestock","Azerbaijan","Stocks","Cattle, dairy","2021","FAO TIER 1","1280513"
"Emissions from Livestock","Azerbaijan","Stocks","Cattle, non-dairy","2021","FAO TIER 1","1239179"
"Emissions from Livestock","Azerbaijan","Stocks","Chickens, broilers","2021","FAO TIER 1","15837000"
"Emissions from Livestock","Azerbaijan","Stocks","Chickens, layers","2021","FAO TIER 1","13787000"
"Emissions from Livestock","Azerbaijan","Stocks","Goats","2021","FAO TIER 1","585520"
"Emissions from Livestock","Azerbaijan","Stocks","Horses","2021","FAO TIER 1","58396"
"Emissions from Livestock","Azerbaijan","Stocks","Mules and hinnies","2021","FAO TIER 1","55"
"Emissions from Livestock","Azerbaijan","Stocks","Sheep","2021","FAO TIER 1","7314166"
"Emissions from Livestock","Azerbaijan","Stocks","Swine, breeding","2021","FAO TIER 1","595"
"Emissions from Livestock","Azerbaijan","Stocks","Swine, market","2021","FAO TIER 1","5359"
"Emissions from Livestock","Azerbaijan","Stocks","Turkeys","2021","FAO TIER 1","1350838"
"Emissions from Livestock","Bahamas","Stocks","Cattle, dairy","2021","FAO TIER 1","701"
"Emissions from Livestock","Bahamas","Stocks","Cattle, non-dairy","2021","FAO TIER 1","71"
"Emissions from Livestock","Bahamas","Stocks","Chickens, broilers","2021","FAO TIER 1","3064836"
"Emissions from Livestock","Bahamas","Stocks","Chickens, layers","2021","FAO TIER 1","116331"
"Emissions from Livestock","Bahamas","Stocks","Goats","2021","FAO TIER 1","15108"
"Emissions from Livestock","Bahamas","Stocks","Sheep","2021","FAO TIER 1","6595"
"Emissions from Livestock","Bahamas","Stocks","Swine, breeding","2021","FAO TIER 1","503"
"Emissions from Livestock","Bahamas","Stocks","Swine, market","2021","FAO TIER 1","4525"
"Emissions from Livestock","Bahrain","Stocks","Camels","2021","FAO TIER 1","1094"
"Emissions from Livestock","Bahrain","Stocks","Cattle, dairy","2021","FAO TIER 1","4100"
"Emissions from Livestock","Bahrain","Stocks","Cattle, non-dairy","2021","FAO TIER 1","3400"
"Emissions from Livestock","Bahrain","Stocks","Chickens, broilers","2021","FAO TIER 1","1283625"
"Emissions from Livestock","Bahrain","Stocks","Chickens, layers","2021","FAO TIER 1","250000"
"Emissions from Livestock","Bahrain","Stocks","Goats","2021","FAO TIER 1","25000"
"Emissions from Livestock","Bahrain","Stocks","Sheep","2021","FAO TIER 1","60000"
"Emissions from Livestock","Bangladesh","Stocks","Buffalo","2021","FAO TIER 1","1500000"
"Emissions from Livestock","Bangladesh","Stocks","Cattle, dairy","2021","FAO TIER 1","4132423"
"Emissions from Livestock","Bangladesh","Stocks","Cattle, non-dairy","2021","FAO TIER 1","20412577"
"Emissions from Livestock","Bangladesh","Stocks","Chickens, broilers","2021","FAO TIER 1","86606000"
"Emissions from Livestock","Bangladesh","Stocks","Chickens, layers","2021","FAO TIER 1","217500000"
"Emissions from Livestock","Bangladesh","Stocks","Ducks","2021","FAO TIER 1","61746000"
"Emissions from Livestock","Bangladesh","Stocks","Goats","2021","FAO TIER 1","59953432"
"Emissions from Livestock","Bangladesh","Stocks","Sheep","2021","FAO TIER 1","2126766"
"Emissions from Livestock","Barbados","Stocks","Asses","2021","FAO TIER 1","2202"
"Emissions from Livestock","Barbados","Stocks","Cattle, dairy","2021","FAO TIER 1","3130"
"Emissions from Livestock","Barbados","Stocks","Cattle, non-dairy","2021","FAO TIER 1","8743"
"Emissions from Livestock","Barbados","Stocks","Chickens, broilers","2021","FAO TIER 1","3284984"
"Emissions from Livestock","Barbados","Stocks","Chickens, layers","2021","FAO TIER 1","955392"
"Emissions from Livestock","Barbados","Stocks","Goats","2021","FAO TIER 1","5568"
"Emissions from Livestock","Barbados","Stocks","Horses","2021","FAO TIER 1","1237"
"Emissions from Livestock","Barbados","Stocks","Mules and hinnies","2021","FAO TIER 1","2000"
"Emissions from Livestock","Barbados","Stocks","Sheep","2021","FAO TIER 1","13612"
"Emissions from Livestock","Barbados","Stocks","Swine, breeding","2021","FAO TIER 1","2404"
"Emissions from Livestock","Barbados","Stocks","Swine, market","2021","FAO TIER 1","21640"
"Emissions from Livestock","Barbados","Stocks","Turkeys","2021","FAO TIER 1","79396"
"Emissions from Livestock","Belarus","Stocks","Asses","2021","FAO TIER 1","9042"
"Emissions from Livestock","Belarus","Stocks","Cattle, dairy","2021","FAO TIER 1","1459000"
"Emissions from Livestock","Belarus","Stocks","Cattle, non-dairy","2021","FAO TIER 1","2776900"
"Emissions from Livestock","Belarus","Stocks","Chickens, broilers","2021","FAO TIER 1","13909240"
"Emissions from Livestock","Belarus","Stocks","Chickens, layers","2021","FAO TIER 1","18457908"
"Emissions from Livestock","Belarus","Stocks","Ducks","2021","FAO TIER 1","2140671"
"Emissions from Livestock","Belarus","Stocks","Goats","2021","FAO TIER 1","55400"
"Emissions from Livestock","Belarus","Stocks","Horses","2021","FAO TIER 1","29500"
"Emissions from Livestock","Belarus","Stocks","Sheep","2021","FAO TIER 1","84200"
"Emissions from Livestock","Belarus","Stocks","Swine, breeding","2021","FAO TIER 1","255100"
"Emissions from Livestock","Belarus","Stocks","Swine, market","2021","FAO TIER 1","2295900"
"Emissions from Livestock","Belarus","Stocks","Turkeys","2021","FAO TIER 1","1483369"
"Emissions from Livestock","Belgium","Stocks","Cattle, dairy","2021","FAO TIER 1","537250"
"Emissions from Livestock","Belgium","Stocks","Cattle, non-dairy","2021","FAO TIER 1","1773190"
"Emissions from Livestock","Belgium","Stocks","Chickens, broilers","2021","FAO TIER 1","24973000"
"Emissions from Livestock","Belgium","Stocks","Chickens, layers","2021","FAO TIER 1","11973000"
"Emissions from Livestock","Belgium","Stocks","Ducks","2021","FAO TIER 1","167292"
"Emissions from Livestock","Belgium","Stocks","Goats","2021","FAO TIER 1","50000"
"Emissions from Livestock","Belgium","Stocks","Horses","2021","FAO TIER 1","28849"
"Emissions from Livestock","Belgium","Stocks","Sheep","2021","FAO TIER 1","120000"
"Emissions from Livestock","Belgium","Stocks","Swine, breeding","2021","FAO TIER 1","604215"
"Emissions from Livestock","Belgium","Stocks","Swine, market","2021","FAO TIER 1","5437935"
"Emissions from Livestock","Belgium","Stocks","Turkeys","2021","FAO TIER 1","277696"
"Emissions from Livestock","Belize","Stocks","Cattle, dairy","2021","FAO TIER 1","5996"
"Emissions from Livestock","Belize","Stocks","Cattle, non-dairy","2021","FAO TIER 1","98322"
"Emissions from Livestock","Belize","Stocks","Chickens, broilers","2021","FAO TIER 1","1121417"
"Emissions from Livestock","Belize","Stocks","Chickens, layers","2021","FAO TIER 1","565655"
"Emissions from Livestock","Belize","Stocks","Ducks","2021","FAO TIER 1","12329"
"Emissions from Livestock","Belize","Stocks","Goats","2021","FAO TIER 1","188"
"Emissions from Livestock","Belize","Stocks","Horses","2021","FAO TIER 1","6173"
"Emissions from Livestock","Belize","Stocks","Mules and hinnies","2021","FAO TIER 1","4592"
"Emissions from Livestock","Belize","Stocks","Sheep","2021","FAO TIER 1","15453"
"Emissions from Livestock","Belize","Stocks","Swine, breeding","2021","FAO TIER 1","2340"
"Emissions from Livestock","Belize","Stocks","Swine, market","2021","FAO TIER 1","21057"
"Emissions from Livestock","Belize","Stocks","Turkeys","2021","FAO TIER 1","52202"
"Emissions from Livestock","Benin","Stocks","Asses","2021","FAO TIER 1","635"
"Emissions from Livestock","Benin","Stocks","Cattle, dairy","2021","FAO TIER 1","604029"
"Emissions from Livestock","Benin","Stocks","Cattle, non-dairy","2021","FAO TIER 1","2019261"
"Emissions from Livestock","Benin","Stocks","Chickens, broilers","2021","FAO TIER 1","12669384"
"Emissions from Livestock","Benin","Stocks","Chickens, layers","2021","FAO TIER 1","10422178"
"Emissions from Livestock","Benin","Stocks","Goats","2021","FAO TIER 1","2042758"
"Emissions from Livestock","Benin","Stocks","Horses","2021","FAO TIER 1","1161"
"Emissions from Livestock","Benin","Stocks","Sheep","2021","FAO TIER 1","1001441"
"Emissions from Livestock","Benin","Stocks","Swine, breeding","2021","FAO TIER 1","56514"
"Emissions from Livestock","Benin","Stocks","Swine, market","2021","FAO TIER 1","508627"
"Emissions from Livestock","Bhutan","Stocks","Asses","2021","FAO TIER 1","17938"
"Emissions from Livestock","Bhutan","Stocks","Buffalo","2021","FAO TIER 1","50535"
"Emissions from Livestock","Bhutan","Stocks","Cattle, dairy","2021","FAO TIER 1","90000"
"Emissions from Livestock","Bhutan","Stocks","Cattle, non-dairy","2021","FAO TIER 1","205444"
"Emissions from Livestock","Bhutan","Stocks","Chickens, broilers","2021","FAO TIER 1","369998"
"Emissions from Livestock","Bhutan","Stocks","Chickens, layers","2021","FAO TIER 1","1014002"
"Emissions from Livestock","Bhutan","Stocks","Goats","2021","FAO TIER 1","59577"
"Emissions from Livestock","Bhutan","Stocks","Horses","2021","FAO TIER 1","12418"
"Emissions from Livestock","Bhutan","Stocks","Mules and hinnies","2021","FAO TIER 1","4944"
"Emissions from Livestock","Bhutan","Stocks","Sheep","2021","FAO TIER 1","10694"
"Emissions from Livestock","Bhutan","Stocks","Swine, breeding","2021","FAO TIER 1","2295"
"Emissions from Livestock","Bhutan","Stocks","Swine, market","2021","FAO TIER 1","20659"
"Emissions from Livestock","Bolivia (Plurinational State of)","Stocks","Asses","2021","FAO TIER 1","635473"
"Emissions from Livestock","Bolivia (Plurinational State of)","Stocks","Cattle, dairy","2021","FAO TIER 1","218433"
"Emissions from Livestock","Bolivia (Plurinational State of)","Stocks","Cattle, non-dairy","2021","FAO TIER 1","10167049"
"Emissions from Livestock","Bolivia (Plurinational State of)","Stocks","Chickens, broilers","2021","FAO TIER 1","195417102"
"Emissions from Livestock","Bolivia (Plurinational State of)","Stocks","Chickens, layers","2021","FAO TIER 1","22244849"
"Emissions from Livestock","Bolivia (Plurinational State of)","Stocks","Ducks","2021","FAO TIER 1","704018"
"Emissions from Livestock","Bolivia (Plurinational State of)","Stocks","Goats","2021","FAO TIER 1","2281252"
"Emissions from Livestock","Bolivia (Plurinational State of)","Stocks","Horses","2021","FAO TIER 1","512893"
"Emissions from Livestock","Bolivia (Plurinational State of)","Stocks","Llamas","2021","FAO TIER 1","3071009"
"Emissions from Livestock","Bolivia (Plurinational State of)","Stocks","Mules and hinnies","2021","FAO TIER 1","83003"
"Emissions from Livestock","Bolivia (Plurinational State of)","Stocks","Sheep","2021","FAO TIER 1","7633504"
"Emissions from Livestock","Bolivia (Plurinational State of)","Stocks","Swine, breeding","2021","FAO TIER 1","326115"
"Emissions from Livestock","Bolivia (Plurinational State of)","Stocks","Swine, market","2021","FAO TIER 1","2935034"
"Emissions from Livestock","Bosnia and Herzegovina","Stocks","Cattle, dairy","2021","FAO TIER 1","143092"
"Emissions from Livestock","Bosnia and Herzegovina","Stocks","Cattle, non-dairy","2021","FAO TIER 1","198806"
"Emissions from Livestock","Bosnia and Herzegovina","Stocks","Chickens, broilers","2021","FAO TIER 1","5991000"
"Emissions from Livestock","Bosnia and Herzegovina","Stocks","Chickens, layers","2021","FAO TIER 1","2736000"
"Emissions from Livestock","Bosnia and Herzegovina","Stocks","Ducks","2021","FAO TIER 1","10000"
"Emissions from Livestock","Bosnia and Herzegovina","Stocks","Goats","2021","FAO TIER 1","48372"
"Emissions from Livestock","Bosnia and Herzegovina","Stocks","Horses","2021","FAO TIER 1","3960"
"Emissions from Livestock","Bosnia and Herzegovina","Stocks","Sheep","2021","FAO TIER 1","1029966"
"Emissions from Livestock","Bosnia and Herzegovina","Stocks","Swine, breeding","2021","FAO TIER 1","55579"
"Emissions from Livestock","Bosnia and Herzegovina","Stocks","Swine, market","2021","FAO TIER 1","500213"
"Emissions from Livestock","Bosnia and Herzegovina","Stocks","Turkeys","2021","FAO TIER 1","21000"
"Emissions from Livestock","Botswana","Stocks","Asses","2021","FAO TIER 1","104536"
"Emissions from Livestock","Botswana","Stocks","Cattle, dairy","2021","FAO TIER 1","201482"
"Emissions from Livestock","Botswana","Stocks","Cattle, non-dairy","2021","FAO TIER 1","825107"
"Emissions from Livestock","Botswana","Stocks","Chickens, broilers","2021","FAO TIER 1","206072"
"Emissions from Livestock","Botswana","Stocks","Chickens, layers","2021","FAO TIER 1","702222"
"Emissions from Livestock","Botswana","Stocks","Goats","2021","FAO TIER 1","1217817"
"Emissions from Livestock","Botswana","Stocks","Horses","2021","FAO TIER 1","24138"
"Emissions from Livestock","Botswana","Stocks","Mules and hinnies","2021","FAO TIER 1","3286"
"Emissions from Livestock","Botswana","Stocks","Sheep","2021","FAO TIER 1","183370"
"Emissions from Livestock","Botswana","Stocks","Swine, breeding","2021","FAO TIER 1","134"
"Emissions from Livestock","Botswana","Stocks","Swine, market","2021","FAO TIER 1","1210"
"Emissions from Livestock","Brazil","Stocks","Asses","2021","FAO TIER 1","800361"
"Emissions from Livestock","Brazil","Stocks","Buffalo","2021","FAO TIER 1","1551618"
"Emissions from Livestock","Brazil","Stocks","Cattle, dairy","2021","FAO TIER 1","15944584"
"Emissions from Livestock","Brazil","Stocks","Cattle, non-dairy","2021","FAO TIER 1","208657528"
"Emissions from Livestock","Brazil","Stocks","Chickens, broilers","2021","FAO TIER 1","1275065000"
"Emissions from Livestock","Brazil","Stocks","Chickens, layers","2021","FAO TIER 1","255604000"
"Emissions from Livestock","Brazil","Stocks","Ducks","2021","FAO TIER 1","3437755"
"Emissions from Livestock","Brazil","Stocks","Goats","2021","FAO TIER 1","11923630"
"Emissions from Livestock","Brazil","Stocks","Horses","2021","FAO TIER 1","5777046"
"Emissions from Livestock","Brazil","Stocks","Mules and hinnies","2021","FAO TIER 1","1235457"
"Emissions from Livestock","Brazil","Stocks","Sheep","2021","FAO TIER 1","20537474"
"Emissions from Livestock","Brazil","Stocks","Swine, breeding","2021","FAO TIER 1","4253865"
"Emissions from Livestock","Brazil","Stocks","Swine, market","2021","FAO TIER 1","38284787"
"Emissions from Livestock","Brazil","Stocks","Turkeys","2021","FAO TIER 1","30785618"
"Emissions from Livestock","Brunei Darussalam","Stocks","Buffalo","2021","FAO TIER 1","1311"
"Emissions from Livestock","Brunei Darussalam","Stocks","Cattle, dairy","2021","FAO TIER 1","81"
"Emissions from Livestock","Brunei Darussalam","Stocks","Cattle, non-dairy","2021","FAO TIER 1","272"
"Emissions from Livestock","Brunei Darussalam","Stocks","Chickens, broilers","2021","FAO TIER 1","20331000"
"Emissions from Livestock","Brunei Darussalam","Stocks","Chickens, layers","2021","FAO TIER 1","1265000"
"Emissions from Livestock","Brunei Darussalam","Stocks","Ducks","2021","FAO TIER 1","228995"
"Emissions from Livestock","Brunei Darussalam","Stocks","Goats","2021","FAO TIER 1","4169"
"Emissions from Livestock","Brunei Darussalam","Stocks","Sheep","2021","FAO TIER 1","4499"
"Emissions from Livestock","Brunei Darussalam","Stocks","Swine, breeding","2021","FAO TIER 1","77"
"Emissions from Livestock","Brunei Darussalam","Stocks","Swine, market","2021","FAO TIER 1","689"
"Emissions from Livestock","Bulgaria","Stocks","Buffalo","2021","FAO TIER 1","21690"
"Emissions from Livestock","Bulgaria","Stocks","Cattle, dairy","2021","FAO TIER 1","230340"
"Emissions from Livestock","Bulgaria","Stocks","Cattle, non-dairy","2021","FAO TIER 1","380860"
"Emissions from Livestock","Bulgaria","Stocks","Chickens, broilers","2021","FAO TIER 1","12607688"
"Emissions from Livestock","Bulgaria","Stocks","Chickens, layers","2021","FAO TIER 1","5000000"
"Emissions from Livestock","Bulgaria","Stocks","Ducks","2021","FAO TIER 1","1504516"
"Emissions from Livestock","Bulgaria","Stocks","Goats","2021","FAO TIER 1","215000"
"Emissions from Livestock","Bulgaria","Stocks","Horses","2021","FAO TIER 1","41319"
"Emissions from Livestock","Bulgaria","Stocks","Sheep","2021","FAO TIER 1","1199550"
"Emissions from Livestock","Bulgaria","Stocks","Swine, breeding","2021","FAO TIER 1","69466"
"Emissions from Livestock","Bulgaria","Stocks","Swine, market","2021","FAO TIER 1","625194"
"Emissions from Livestock","Bulgaria","Stocks","Turkeys","2021","FAO TIER 1","35000"
"Emissions from Livestock","Burkina Faso","Stocks","Asses","2021","FAO TIER 1","1304911"
"Emissions from Livestock","Burkina Faso","Stocks","Camels","2021","FAO TIER 1","20333"
"Emissions from Livestock","Burkina Faso","Stocks","Cattle, dairy","2021","FAO TIER 1","1670000"
"Emissions from Livestock","Burkina Faso","Stocks","Cattle, non-dairy","2021","FAO TIER 1","8730038"
"Emissions from Livestock","Burkina Faso","Stocks","Chickens, broilers","2021","FAO TIER 1","23648901"
"Emissions from Livestock","Burkina Faso","Stocks","Chickens, layers","2021","FAO TIER 1","17488522"
"Emissions from Livestock","Burkina Faso","Stocks","Goats","2021","FAO TIER 1","17038610"
"Emissions from Livestock","Burkina Faso","Stocks","Horses","2021","FAO TIER 1","42331"
"Emissions from Livestock","Burkina Faso","Stocks","Sheep","2021","FAO TIER 1","11373406"
"Emissions from Livestock","Burkina Faso","Stocks","Swine, breeding","2021","FAO TIER 1","269344"
"Emissions from Livestock","Burkina Faso","Stocks","Swine, market","2021","FAO TIER 1","2424099"
"Emissions from Livestock","Burundi","Stocks","Cattle, dairy","2021","FAO TIER 1","129098"
"Emissions from Livestock","Burundi","Stocks","Cattle, non-dairy","2021","FAO TIER 1","822079"
"Emissions from Livestock","Burundi","Stocks","Chickens, broilers","2021","FAO TIER 1","2088834"
"Emissions from Livestock","Burundi","Stocks","Chickens, layers","2021","FAO TIER 1","742651"
"Emissions from Livestock","Burundi","Stocks","Goats","2021","FAO TIER 1","3281209"
"Emissions from Livestock","Burundi","Stocks","Sheep","2021","FAO TIER 1","657146"
"Emissions from Livestock","Burundi","Stocks","Swine, breeding","2021","FAO TIER 1","89383"
"Emissions from Livestock","Burundi","Stocks","Swine, market","2021","FAO TIER 1","804447"
"Emissions from Livestock","Cabo Verde","Stocks","Asses","2021","FAO TIER 1","16342"
"Emissions from Livestock","Cabo Verde","Stocks","Cattle, dairy","2021","FAO TIER 1","6818"
"Emissions from Livestock","Cabo Verde","Stocks","Cattle, non-dairy","2021","FAO TIER 1","22355"
"Emissions from Livestock","Cabo Verde","Stocks","Chickens, broilers","2021","FAO TIER 1","696543"
"Emissions from Livestock","Cabo Verde","Stocks","Chickens, layers","2021","FAO TIER 1","303457"
