Vegan,Ingredients,Preparation,Meat
“Deluxe-tarian” Burger,"
Ingredients
1 pack Garden Gourmet Sensational Burger or another plant-based equivalent
50 g vegan cheese
1 ripe fig
2 tblsp hummus
1 small head of green curly lettuce
1 tblsp (ready to eat) pomegranate seeds
2 tbsp vegan yoghurt
2 vegan ‘green burger’ buns (see recipe), or use other vegan burger buns
50 g baby spinach leaves and a few leaves curly (lolo bionda) lettuce
","
Method

Slice the zucchini and vegan cheese, grill the slices for about 2 to 3 minutes in a hot grill pan on both sides till grill marks are showing and set aside. Also cut the fig in slices.
Cut the burger buns lengthwise and grill both cutting sides until grill marks are showing.
Grill the burgers according to the instructions on the package and place slices of the vegan cheese on it while the burgers are still warm.
Spread the bun bottoms with hummus. Cover with spinach and place the burgers with vegan cheese on it. Place fig slices on the vegan cheese and a few leaves of curly lettuce.
Spoon vegan yoghurt sauce on it, sprinkle with pomegranate seeds and place the lids on top ingredients and season with salt and lime juice.
For 7 vegan burger buns we will need: 1 pack of white bread mix (with yeast, 450 g), 300 g fresh spinach, 2 tblsp extra virgin oil , 275 ml of luke warm water, 1 tblsp coconut milk to brush, sesame seeds and / or poppyseed. Preheat the oven to 180 ºC.Cook (stir while cooking) the spinach short with a little water. Rinse under cold water in a colander and Grind into puree in a kitchen machine. Mix it into the bread mix and add water and olive oil. Knead and let rise according to the instructions on the package. Divide the dough into 7 equal pieces and roll into balls. Shape them into balls by rolling the dough under the hollow of your hands. Place them seam side down on a oil creased baking tray or on baking paper. Brush them lightly with coconut milk and sprinkle with sesame seeds and / or poppy seeds. Let them rise again to double volume and bake them for approx.15 minutes. They should sound hollow when tapped underneath.

",Burger
Spicy Bean Burgers with Avocado Salsa,"
Ingredients

1 large red onion 
2 tbsp olive oil
2 cloves of garlic
2 medium courgettes
2 medium carrots 
1 x 400g tin of kidney beans 
100g cooked rice
1 tbsp harissa paste
2 tbsp crunchy peanut butter, or use sunflower seed butter if making nut free
A small bunch of coriander
50g sesame seeds
For the avocado salsa:
½ yellow pepper
2 tomatoes
1 large ripe avocado
2 tomatoes
½ a small red onion
1 red chilli
Juice of 2 limes
A small bunch of coriander

","
Preparation
I like to use the outer leaves of an iceberg lettuce to wrap round the burgers, acting as a crisp bun.  That way you can add the salsa and perhaps a little hummus to make a real feast of it. It’s really important that you grate the carrot and courgette by hand as using a food processor can make them very soggy.
Makes 10 burgers       

Method
Place the tomatoes in a bowl and pour over boiling water, leave for 1 minute, drain the water off and gently remove the skin by peeling it off with a small sharp knife. Cut the tomatoes in half and using a teaspoon, scoop out the seeds and discard. Set the remaining tomato flesh aside.
Finely dice the onion, deseed the chilli and chop very finely.  Slice the avocado in half, remove the stone and then using a spoon scoop out the flesh in one half and then finely chop.  Slice the tomato flesh and yellow pepper into very small juice and then combine all of the ingredients into a bowl.  Pour over the lime juice, finely chop the coriander and stir through.  Season to taste, cover and leave to stand in the fridge until ready to use.
Finely chop the onion and crush the garlic.  Trim the ends from the courgette and carrots and then coarsely grate using a hand held grater.  Finely chop the coriander and set aside.  Heat 1 tablespoon of the olive oil in a large frying pan and add the onion, fry gently for around 5 minutes or until softened and slightly coloured at the edges.  Add the garlic, courgettes and carrots to the pan, turn up the heat to medium – high and fry for a further 5 minutes, stirring regularly, until the carrots and courgettes have softened and cooked through.
Add the peanut butter and harissa to the pan, season well and continue to cook for 3 minutes, stirring regularly, until blended with the vegetables.  Take off the heat and leave to stand for five minutes or until cool enough to handle.  Meanwhile, drain and rinse the kidney beans and place them in a food processor.  Blitz until you have a smooth paste and then transfer to a large mixing bowl.  Alternatively, you can place the kidney beans into the mixing bowl and mash by hand, using a fork, until you have a thick paste.
Add the cooked rice, coriander and vegetable mixture to the beans and beat together until combined and pulled into a large ball.  Take a handful of the mixture – about 3 tablespoons worth – and shape into a patty approximately 2 inches in diameter and 1 inch thick.  Scatter the sesame seeds over a flat plate, season and mix together before lightly rolling the burgers in them so that they are evenly coated.  Cover the burgers in clingfilm and refrigerate for 1 hour before cooking.
When ready to cook, heat the remaining olive oil in a large frying pan and cook for about 10 minutes, turning over once or twice, until golden brown and cooked through.
 
 
",Burger
Curried Chickpea Burgers,"
Ingredients

175g cooked quinoa
1 x 400g tin of chickpeas, drained and rinsed
2 carrots
1 white onion
1 tbsp curry paste of your choice, just ensure it is gluten and dairy free
3 tbsp gram flour
3 tbsp olive oil

","
Preparation

Makes 8 burgers

They freeze well and you don’t need to worry about defrosting them, you can simply fry them gently from frozen until cooked through, making them handy little things. 

Method
Begin by peeling the onion and carrots and then finely grating, either by hand or using a food processor. Heat one tablespoon of the oil in a large frying pan and then gently fry the onion and carrots until softened – approximately 10 minutes.
Place the chickpeas and cooked quinoa into a large mixing bowl and crush together with a fork until you have a coarse, lightly-bound paste.  Add the softened onion, carrot and curry paste, season with a little sea salt and black pepper and mash together with a fork until bound together.
Using your hands, form the mixture into 8 burger patties and then coat each burger in gram flour, using as much or as little flour as you need to generously coat the burgers.
Heat the remaining oil in the large frying pan over a medium flame, add the burgers to the pan and fry the burgers on both sides until golden, slightly crisp and heated through.
While the cakes are frying dice the tomatoes, avocado and coriander.  Mix together in a small bowl with the lemon juice and season to taste.  Serve the burgers with a little pile of tomato salad on top and whatever accompaniments you like – roasted sweet potato wedges and a big green salad go very well.
 
",Burger
Korean Crunchy Fillet Burger,"
Ingredients
One pack x Quorn Crunchy Fillet Burger
2 x Vegan Brioche Buns
Glaze:
2 to 3 tablespoons gochujang paste
1½ tablespoons rice vinegar
1 tablespoon sesame oil
1 tablespoon maple syrup
Miso Slaw:
4 Tbsp Vegan Mayo
½ Tbsp Miso
½ Tbsp Rice Vinegar
1 Tsp Grated Ginger
1 Tbsp Soy
1 Tsp Shaoxing Vinegar
½ Tsp Sesame Oil
½ Small Cabbage, finely sliced
1 Carrot, julienned
2 Spring Onions, finely sliced
Black Sesame to dress
","
Method
1. Start with the mayo by combining mayo, miso, rice vinegar, ginger, soy, Shaoxing vinegar, sesame oil before tossing in the prepared vegetables
2. Bake Quorn Crunchy Fillet Burgers as per on pack instructions
3. While fillets are baking make up the glaze to toss freshly cooked burgers when cooked
4. Toast buns and stack with the slaw and Quorn Fillet Burger dusting with sesame seeds.
",Burger
Chaka-lekka Burger Pie,"
Ingredients

1 box of Fry’s Traditional Burgers (or similar)
2 packets of puff pastry
Olive oil for frying
Salt and pepper
1 cup chakalaka
1 cup cup grated vegan cheese
Sesame seeds, to garnish

To Serve:

Baked potato wedges
Tomato sauce
Simple side salad

","
Method

Preheat the oven to 180°C.
Roll out the first pack of puff pastry on a floured surface, using a small plate just larger than the patty, cut 2 circles from the pastry. Place 1 Traditional Burger patty on top of each pastry round and wet the edges with a little water.
Top with a generous dollop of chakalaka and grated vegan cheese.
Repeat the process of cutting 2 circles from the second roll of pastry and place the circles over the top of the Burgers.
Using a fork, seal the edges well and brush the top of the pies with a little olive oil. Sprinkle with sesame seeds then bake for 30-40 minutes, or until golden brown on top.
Serve the pies with a side of crispy baked potato wedges and tomato sauce for dipping.

",Burger
Traditional Burger with Sweet Tomato Relish,"
Ingredients

1 box Fry’s Traditional Burgers
1/2 can of tomatoes (or tomato and onion mix)
1 tbsp chutney
1/2 garlic clove, crushed
75 ml mustard
200 ml barbecue sauce
Salt and pepper
4 seeded buns
Olive oil for grilling
2 medium gherkins, sliced
1 red onion, thinly sliced
1 tomato, sliced
Rocket

","
Preparation
Serves 4.

Method

Relish: Place tomato and onion mix in small barbecue cast iron pot, add chutney and garlic. Place pot on barbecue and simmer for 3 minutes. Season with salt and pepper.


Marinade: Combine BBQ sauce and mustard to create a baste for the burgers.


Grill the burgers on the barbecue for 8 minutes, or until cooked through, basting and turning regularly.


Slice the buns in half, lightly brush with olive oil, toast lightly on the barbecue.


Assemble the burger: Layer with relish, sliced tomato and watercress. Add the burgers, gherkins, red onion and more relish.

",Burger
Tooti Frooti Chicken Burger,"
Ingredients

2 Fry’s Chicken-Style Burgers
4 Whole-wheat Burger buns
4 red chilli
2 Tbsp olive oil
1 Tbsp smoked paprika
Egg-free mayonnaise, to serve
Red salad onions, thinly sliced
1 Mango, peeled and cut in small cubes
Thinly sliced pineapple, halved
1 Pomegranate

","
Preparation
Pre heat the oven to the recommended temperature for the burgers

Method

Bake the crumbed chicken burgers in a preheated oven for 10 minutes.


Chop the chillies and place in a small saucepan with the olive oil and smoked paprika and gently fry over a low heat for 2 to 3 minutes.


Serve the chicken burgers on the buns with a base of the chilli relish topped with a generous dollop of mayonnaise, sliced purple spring onions and fresh mango and pineapple and a spoonful of Pomegranate.

 
",Burger
Sweet Potato Bean Burgers with Maple Dijon Sauce,"
Ingredients

Burgers
•	½ Tb. Ground Flaxseed
•	1 ½ Tb. Water
•	1 1/3 cup Cooked Sweet Potato
•	1 cup Canned Garbanzo beans, drained and rinsed
•	2 Tb. Dry Quick Oats
•	2 T. + 1/3 c. (divided) Bread Crumbs – regular, panko, whole wheat or gluten-free all work!
•	1-2 T. Finely Chopped White or Yellow Onion
•	3/4 tsp. of EACH Cinnamon, Chili Powder, Garlic Powder, and Salt
Maple Dijon Sauce
•	1/3 c. Maple Syrup
•	1/3 c. Dijon Mustard

","
Preparation
This sweet take on veggie burgers is sure to impress your family and friends. Makes 4 Burgers or 8 mini Patties!

First, roast two large or three medium sized sweet potatoes (poked several times with a fork) in a 375 degree oven for about 45 – 60 minutes. They’ll be very soft and fork tender when they’re done. You may not need to use ALL of the cooked sweet potato.
Next, combine the water and ground flaxseed in a small bowl and then set it aside for now.
In a medium-sized bowl, place your garbanzo beans and mash them up with a potato masher or large fork, leaving some beans partially intact.
To the same bowl, add your cooked sweet potato, dry oats, 2 tablespoons of breadcrumbs, onion, spices and salt. Finally, add the flaxseed/water mixture and then stir it all together.
Form this mixture into four equal-sized patties. Then, coat each side with breadcrumbs and put them in a lightly oiled pan over medium-high heat.
While those patties are cooking, prep your Maple Dijon Sauce by combining the maple syrup and mustard in a small bowl.
After approximately 5 – 7 minutes, flip the burgers.
While you’re waiting for the second side to cook, prep your other toppings. I like to use lettuce, tomato and sometimes a bit of sliced avocado!
Once those burgers form a nice crispy brown surface on each side, remove them from the pan and sprinkle them with a small pinch of salt and pepper.
If you’re like me and love a toasted bun, now would be the time to place those buns in the hot pan to lightly toast on each side.
The last step? Place those burgers on your buns, drizzle with plenty of Maple Dijon Sauce, load up your toppings, and enjoy!
This recipe can also be used to make a killer appetizer or side dish! Just form the mixture into small cakes instead of patties.

",Burger
Portobello Veggie Burgers,"
Ingredients

1 can of black beans
 
1t stock powder
 
1 garlic clove, finely chopped
 
1 red onions, finely chopped
 
2T ground flax seed
 
1/2c cooked rice
 
1/2 tablespoon toasted sesame seeds
 
½ tablespoon cumin seeds, toasted and ground
 
1/2 tablespoon coriander seeds, toasted and ground
 
Half a handful of each – flat parsley, coriander, mint
 
½T of yeast extract (or Marmite/Vegemite)
 
Salt to taste
 
4 portobello mushrooms
 
2T tamari
 
2T water
 
1t hot smoked paprika
2 large ripe tomatoes
Baby spinach

","
Method

Set your oven to 200c.
Drain and rinse the beans very well, put them into a large bowl.


Add the stock powder, garlic, red onion, flax, rice, sesame seeds, spices, herbs, yeast extract and a little salt.


Using a hand blender or food processor blend until smooth.


You can make the patties one of two ways, shape them with your hands or roll out between 2 sheets of baking paper and cut out shapes with a glass.


Bake in the oven for around 30 minutes.


Remove the stems from the mushrooms carefully, so the caps don’t break.


Put the mushrooms in a large bowl with the tamari, water and paprika. Turn the mushrooms over and around so that they are covered with the sauce.


Bake the mushrooms in the oven for 15 minutes.


Slice the tomatoes, put the spinach on your plate, assemble the burgers with the tomatoes and enjoy!!!!

",Burger
The Really Hungry Burger,"
Ingredients

Olive oil
6 big portobello mushrooms, roughly chopped into little bits
A few sprigs of fresh thyme, leaves picked
Sea salt and freshly ground black pepper
1 × 400g tin of white beans, haricot or cannellini, well drained
4 fat medjool dates, pitted
2 cloves of garlic, peeled and finely chopped
A small bunch of fresh parsley, finely chopped
2 tablespoons tahini
2 tablespoons soy sauce or tamari
200g cooked and cooled brown rice
(100g raw weight)
50g breadcrumbs or oats
Grated zest of 1 unwaxed lemon
To serve:
1–2 avocados, peeled and sliced
Tomato relish or ketchup
Pickled cucumber (see above)
A few handfuls of spinach leaves
8 seeded burger buns (I use wholemeal ones)

","
Preparation
I’ve played around with a lot of recipes before settling on this one, some full of bright herb freshness and grated veg, some packed with protein-rich tofu, and all were good, but what I look for in a burger is a deep moreish favour, savoury and complex, so this is the one.
I use brown rice here, but any cooked grain you have will do – quinoa, pearl barley and farro all work well.
I like to make a quick pickled cucumber to top these with. Thinly slice a quarter of a cucumber and pop it into a bowl with a pinch of salt, a squeeze of agave syrup, and a good tablespoon of white wine vinegar, then scrunch together and leave to sit while you make your burgers. A homemade quick pickle that beats a gherkin any day. 🙂
 
Like this recipe? Sign up to Veganuary today to get recipes like this delivered directly to your inbox.

Method
Get a large pan on a medium heat and add a splash of olive oil. Once the pan is good and hot, add the mushrooms and thyme and season with salt and pepper. Fry on a good heat until the mushrooms have dried out and are slightly browned, then set to one side and leave to cool.
Next, drain the white beans and put them into a food processor with the dates, garlic, parsley, tahini and soy sauce. Pulse until you have a smoothish mixture, then transfer to a bowl and add the rice, breadcrumbs, lemon zest and the cooled mushrooms. Mix well, then put into the fridge for 10 minutes or so to firm up.
Once cooled, divide the mixture into 8 portions and shape into 8 patties.  Place them on a baking tray lined with baking paper and pop into the fridge until needed. (This can be done the day before – and the burgers freeze well at this point.)
Preheat your oven to 230°C/fan 210°C/gas 8 and bake the burgers for 15 minutes, until nicely brown. If you like cheese on your burger, pop a slice on top a couple of minutes before they come out of the oven.
While your burgers are cooking, get your toppings ready. I go with avocado, tomato relish and the quick cucumber pickle above, plus a few spinach leaves. Hummus, grated carrot and sprouts is another favourite, but feel free to improvise and try it your own way.
Once the burgers are golden, toast your buns and layer up your burgers. I like to serve them with the sweet potato fries. You can’t beat a burger and chips, and these ones are as healthy as they are tasty.
",Burger
Spicy VFC Burger,"
Ingredients
Sesame seed bun
Potato rosti or hashbrowns
VFC Fillet
Baby gem lettuce
3 Tablespoons vegan mayonnaise
1 Tablespoons Sriracha sauce
Vegan cheese
Vegan butter
","
Method
1. Preheat the oven and cook the VFC Fillet according to package instructions until crispy!
2. Cook potato rosti/hashbrowns according to package instructions
3. Combine mayonnaise and sriracha sauce
4. Preheat frying pan to a medium heat
5. Butter buns and toast on the warm pan until golden and crispy
6. Add your favourite vegan cheese slices to the VFC Fillet at the last minute and finish in the oven
To plate:
1. Place heel of the bun on plate
2. Add layers of baby gem lettuce
3. Place potato rostis/hashbrowns onto lettuce
4. Drizzle half the sauce
5. Place VFC Fillet with melted cheese and drizzle the rest of the sauce
6. Place the top of the bun and enjoy!
",Burger
