Meat,Vegan,ingredients,preparation,href
Gnocchi,Oven-baked Squash Gnocchi with Sun-dried Tomato & Fennel and Spinach Pistou,"
Ingredients

1 large squash, about 1.5kg (the more starchy varieties of summer squash are best, such as butternut) peeled and cut into rough chunks olive oil, for roasting 
a little sea salt
1 large fennel bulb, thinly sliced lengthways 
240g firm tofu, well drained
300g unbleached white flour, sifted 
1 teaspoon sea salt 
½ teaspoon white pepper 
1½ teaspoons dried sage 
2 big handfuls of sun-dried tomatoes, roughly chopped 
1x spinach pistou
For the topping:
2 tablespoons roasted hazelnuts, roughly chopped

","
Preparation
Serves 4 – 6.
First make the spinach pistou (even better if you can make it the day before). Pistou is a Provencal version of Pesto – much lighter, without the cheese and pine nuts.
Preheat the oven to 200°C/gas mark 6.

Method

Place the squash on an oiled baking tray. Rub a little oil and salt over it and bake for 30 minutes, turning the pieces gently over once. You’re not looking for loads of colour here, just lovely soft, golden squash.


Toss the fennel in olive oil, place on a separate baking tray and scatter with a pinch of sea salt. Bake for 30 minutes, turning once, until it’s nicely golden and sweet. When the squash is ready, put it into a processor with the tofu and blend until smooth. Now, place in a large bowl and stir in the flour, salt, pepper and sage until a soft dough forms. Leave to cool down and firm up – it will be a lot easier to handle.


Using two teaspoons, make gnocchi shapes (lovely little flat oval dumplings) with the mixture and place on an oiled baking sheet, leaving about 5cm of space for each gnocchi to grow. Brush the gnocchi with a little more oil and bake for 20–25 minutes, until crisp and slightly golden.


Serve the gnocchi warm, on nice big plates, drizzled liberally with the pistou. Scatter the crispy fennel and sun-dried tomatoes on top with a little more pistou, and finish with some chopped roasted hazelnuts.

",https://veganuary.com/recipes/oven-baked-squash-gnocchi-with-sun-dried-tomato-fennel-and-spinach-pistou/
Hot Dog,Green Sensational Hot Dog,"
Ingredients
2 packs Garden Gourmet Sensational Sausages or another plant-based equivalent
100 g very thinly sliced red cabbage (pre-cut)
1 large avocado
½ pineapple
1 head of green salad (lollo verde)
1 lime
1 tbsp vegan mayonnaise
Sweet chili sauce
Bunch of fresh coriander
4 vegan green hot dog buns
","
Method

Halve the avocado, peel or gently run a thin spoon between the avocado flesh and skin and scoop out the flesh, cut into slices and sprinkle with lime. Season the red cabbage with lime juice and some ginger syrup. Peel and slice the pineapple.
Grill the Sensational sausages and pineapple in a grill pan or BBQ, see instructions on the package
Cut the buns lengthwise open and lightly coat them with the vegan mayonnaise. Cover with lettuce leaves, avocado slices, grilled pieces pineapple and red cabbage.
Place a grilled sausage on top and garnish with sweet chili sauce and coriander.

",https://veganuary.com/recipes/green-sensational-hot-dog/
Pizza,Homemade Vegan Pizza/Nacho Cheese,"
Ingredients

1 x large potato
1 x large carrot
(3 tablespoons of the potato/carrot water)
1/2 cup of oil (I use olive)
1/2 cup of nutritional yeast
Juice of half a lemon
Teaspoon of garlic granules
Dash of celery salt
Cracked pepper

","
Preparation
This is the same cheese recipe featured in my Cheese on Toast, just in another guise. 

Method
There are lots of recipes for potato cheese out there, but this is the one I have adapted from various different ones*.

Peel one large potato and one large carrot
Chop into small chunks (carrot smaller than the potato as it is harder)
Boil until soft
Put 3 tablespoons of the potato water into a food processor
Drain potatoes and carrots and pour into the processor
Add: 1/2 cup of oil (I use olive), 1/2 cup of nutritional yeast, juice of half a lemon, teaspoon of garlic granules, dash of celery salt, cracked pepper
Blend!
You can eat this cheese straight away with tortilla chips, pour over nachos (maybe chuck it in the oven for a bit to make sure the cheese is really warm) or use as your cheese topping on pizza… Spread as liberally as you like! Sometimes you feel like more or less cheese, depending on your mood and/or the pizza toppings. The photos above are both with the same cheese… Just lots more on one that the other.
When cooked to your liking, remove and eat!

*According to everything I’ve read, this cheese can last up to 7 days in the fridge. Mine has never hung around that long, so I would say use within a couple of days to be on the safe side.
 
Like this recipe? Sign up to Veganuary today to get recipes like this delivered directly to your inbox.
",https://veganuary.com/recipes/homemade-pizza-or-nacho-cheese/
Glazed Meat,Glazed Game On,"
Ingredients

2 packs of Fry’s Slicing Sausage / Polony (or similar)
1 small tin of Pineapple pieces
8 cloves, plus extra for studding the polony
1 onion, peeled, halved
2 large bay leaves
8 cherries
For glaze:
2 tbsp brown sugar
1 tbsp wholegrain mustard
Juice from pineapple pieces

","
Method

Preheat the oven to 180°C.
Cut the polonies in half lengthwise. Score 3 or 4 deep lines across the polonies and decorate with pineapple pieces and cherries. Push two cloves into each onion half and add to the pan along with the bay leaves.
Mix the brown sugar mustard and pineapple juice to a think paste and pour over the decorated polonies.
Roast the “game on” in the oven for 40 minutes, basting frequently with the glaze and pan juices, until cooked through and golden-brown.

",https://veganuary.com/recipes/glazed-game-on/
Burger,Spicy-tarian burger,"
Ingredients
1 pack Garden Gourmet Sensational Burger or another plant-based equivalent
1 small red onion
2 preserved roasted bell peppers
2 tbsp quacamole (ready to eat or home made)
35 g lamb’s lettuce
2 slice of vegan melt cheese
2 tbsp tomato salsa
1 green and red jalapeno peppers
2 vegan burger buns with sesam and poppyseed
","
Method

Slice the onion in rings and bell peppers in strips. Grill the onion shortly and set aside.
Cut the burger buns lengthwise and grill both sides until grill marks are showing.
Grill the burgers according to the instructions on the package and cover them with a slice of vegan cheese while they are still warm.
Spread the bun bottoms with guacamole. Cover with lamb’s lettuce and bell pepper strips and place the burger on it.
Add onion, tomato salsa and if you like it spicy add some jalapeno slices. Place the lids on top.

",https://veganuary.com/recipes/spicy-tarian-burger/
Chicken,Vegan Butter Chicken,"
Ingredients
For the marinade:
100ml Elmlea Plant Single (or your favourite dairy-free single cream)
1 tsp paprika
1/2 teaspoon ground cumin
1/2 tsp garam masala
salt
1/2 lemon
450g oyster mushrooms
 
For the sauce:
2 tbsp vegan butter
1 onion
6 garlic cloves
1 thumb of ginger
1 tsp ground cumin
1 tsp garam masala
1/2 tsp turmeric
1 tsp ground coriander
400g tin of chopped tomatoes
2 tsp granulated sugar
1/4 tsp chilli powder
salt
170ml Elmlea Plant Single (or your choice of vegan single cream)
 
To serve:
fresh coriander
basmati rice
","
Preparation
1. To prepare the marinade, add the cream, paprika, cumin, garam masala, a big pinch of salt and the juice from the lemon to a large mixing bowl and stir to combine. Then tear the oyster mushrooms into 3-4cm pieces and add them to the bowl. Stir until the mushrooms are totally coated in the marinade and leave to sit in the fridge for 30 minutes.
2. Heat the oven to 200°C / 390°F.
3. Next, pierce the mushrooms onto 4 skewers and add them to a baking tray, resting the ends of the skewers over the sides of the tray. Roast for 30 minutes.
4. Meanwhile start preparing the sauce. Peel and dice the onion. Then add the vegan butter to a frying pan over a medium heat. Throw in the onion and fry for 6 minutes. Meanwhile peel and dice the garlic and ginger. Then add them to the pan and fry for 3 minutes.
5. Next add the cumin, garam masala, turmeric and ground coriander and fry for 3 minutes.
6. Then add the tinned tomatoes, sugar and chilli powder to the pan along with a big pinch of salt. Bring the sauce to a gentle simmer and cook for 10-15 minutes or until the sauce has thickened.
7. Cook the rice as per the packet instructions.
8. Transfer the sauce to a blender (this is optional), blend until smooth, then pour the sauce back into the pan and stir in the remaining cream.
9. Remove the mushrooms from the skewers and add them straight to the pan along with any juices that have gathered in the baking tray. Heat through for 1-2 minutes.
10. Stir to combine then serve alongside some rice and chopped fresh coriander.
",https://veganuary.com/recipes/vegan-butter-chicken/
Chicken Nuggets,Vegan Chicken Nuggets,"
Ingredients

Vegan chicken nuggets ingredients:
400g firm tofu
80g chickpea flour
5 tbsp nutritional yeast
3 tbsp American mustard
Juice of 1/2 lemon
2 tbsp olive oil
1 1/2 tsp salt
1 tsp garlic powder
1 tsp onion powder
Cracked black pepper
Other ingredients:
Breadcrumbs (e.g. gluten-free ones)
On the side:
Potato salad
Ketchup

","
Method
Start squeezing all the water out of 400g of firm tofu. This takes about 20 minutes. The more you squeeze the water out of tofu the more it will absorb flavours.
Then roughly crumble the tofu into a food processor and all other ingredients. Blend well until you get a smooth mixture. You may need to add a TINY bit of water as well. And don’t taste the mixture, the uncooked chickpea flour tastes bitter and needs to be cooked first before it is consumed.
Then spoon out the mixture with a tablespoon. And press into a bowl with breadcrumbs. Bread evenly on all sides and then fry in hot oil until golden brown (make sure the oil is hot). Place on a kitchen towel as it will absorb some of the excess oil.
Serve on its own with ketchup or other dips or with a delicious Austrian potato salad. Enjoy!
— Exceedingly Vegan
",https://veganuary.com/recipes/vegan-chicken-nuggets/
Stew,Hearty Winter Stew,"
Ingredients

2 Onions (finely sliced)
1 medium butternut squash (peeled, deseeded, and cubed)
Boiling water
Approximately 400g mixed sliced mushrooms (we used Shitake mushrooms & chestnut mushrooms)
1 medium swede (peeled, cubed)
200g chopped chestnuts (buy peeled, cooked & ready to use)
Sea salt (to taste)
Small handful of fresh thyme (finely chopped)
Handful fresh Tarragon (optional)

","
Method

Heat your favourite oil or cooking fat in a large casserole dish (we used coconut oil – you could also use  rapeseed oil to name a few)
Fry the onions for a few minutes until soft and translucent
Add the swede, squash, mushrooms and more seasoning to the casserole, and sweat for approximately 10 minutes… until the mushrooms are soft
Stir in the fresh thyme and chestnuts, and almost cover the ingredients with boiling water (if unsure best to add less, otherwise the stew will be too thin), add a little more seasoning
Once it comes to the boil reduce the heat, cover with a lid and gently simmer for 40-60 minutes
Season to taste and serve with fresh tarragon
Optional: upgrade with Pulsin’ Pea Protein!

 
",https://veganuary.com/recipes/hearty-winter-stew/
Curry,Tofu Panang Curry,"
Ingredients
2 tablespoons vegetable oil
2 generous tablespoons Panang Curry Paste
250ml (9fl oz) coconut milk
1 tablespoon palm sugar
2 tablespoons light soy sauce
200g (7oz) firm tofu, cut into chunks
6–7 sweet basil leaves, plus extra to garnish
3 kaffir lime leaves, chopped
1 red bird’s eye chilli, finely sliced
Steamed jasmine rice, to serve
","
Method

Heat the oil in a wok set over a medium-high heat. Once hot, add the curry paste and stir-fry for about 1 minute, until fragrant.
Gradually stir in half the coconut milk and cook for about 1 minute, until the oil from the paste rises to the surface of the coconut milk. Once this happens, stir in the remaining coconut milk, then mix in the palm sugar and soy sauce and cook for a further minute.
Bring the mixture to the boil, then add the tofu. Reduce the heat and simmer for 2–3 minutes, until the tofu is heated through. Stir in the sweet basil, lime leaves and sliced chilli.
Remove the pan from the heat. Serve the curry immediately, with a bowl of rice, garnished with extra basil leaves.

",https://veganuary.com/recipes/gaeng-panang-taohu-tofu-panang-curry/
Peppers,Beyond Sausage Stuffed Peppers,"
Ingredients
2 packets Beyond Sausage® Brat Original (4 total)
200g cooked quinoa
3 large green chillies
70g corn kernels
70g canned black beans, drained and rinsed
70g petite diced tomatoes
70g plant-based cheese of your choice
3 tablespoons chopped fresh coriander leaves
1 teaspoon cumin
1 teaspoon garlic powder
½ teaspoon onion powder
½ teaspoon chilli powder, or more to taste
Salt and freshly ground black pepper, to taste
6 peppers, tops cut, stemmed and seeded
","
Method

Preheat oven to 180C.
Line a 9×13 baking dish with parchment paper.
In a large bowl, combine quinoa, green chillies, corn, beans, tomatoes, plant-based cheese, cilantro, cumin, garlic, onion and chilli powder, salt and pepper, to taste.
De-case the Beyond Sausage links. In a pan, crumble the links and cook for about 4 minutes. Note: they will continue to cook in the oven, and you don’t want them to dry out.
Spoon the filling into each bell pepper cavity. Place filled pepper in the prepared baking dish, cavity side up, and bake until the peppers are tender and the filling is heated through about 25-30 minutes.
Serve and enjoy!

Did you enjoy this dish? Check out this Beyond Sausage Toad in the Hole too.
",https://veganuary.com/recipes/beyond-sausage-stuffed-peppers/
Burger,Chaka-lekka Burger Pie,"
Ingredients

1 box of Fry’s Traditional Burgers (or similar)
2 packets of puff pastry
Olive oil for frying
Salt and pepper
1 cup chakalaka
1 cup cup grated vegan cheese
Sesame seeds, to garnish

To Serve:

Baked potato wedges
Tomato sauce
Simple side salad

","
Method

Preheat the oven to 180°C.
Roll out the first pack of puff pastry on a floured surface, using a small plate just larger than the patty, cut 2 circles from the pastry. Place 1 Traditional Burger patty on top of each pastry round and wet the edges with a little water.
Top with a generous dollop of chakalaka and grated vegan cheese.
Repeat the process of cutting 2 circles from the second roll of pastry and place the circles over the top of the Burgers.
Using a fork, seal the edges well and brush the top of the pies with a little olive oil. Sprinkle with sesame seeds then bake for 30-40 minutes, or until golden brown on top.
Serve the pies with a side of crispy baked potato wedges and tomato sauce for dipping.

",https://veganuary.com/recipes/vegan-chaka-lekka-burger-pie/
Burger,Traditional Burger with Sweet Tomato Relish,"
Ingredients

1 box Fry’s Traditional Burgers
1/2 can of tomatoes (or tomato and onion mix)
1 tbsp chutney
1/2 garlic clove, crushed
75 ml mustard
200 ml barbecue sauce
Salt and pepper
4 seeded buns
Olive oil for grilling
2 medium gherkins, sliced
1 red onion, thinly sliced
1 tomato, sliced
Rocket

","
Preparation
Serves 4.

Method

Relish: Place tomato and onion mix in small barbecue cast iron pot, add chutney and garlic. Place pot on barbecue and simmer for 3 minutes. Season with salt and pepper.


Marinade: Combine BBQ sauce and mustard to create a baste for the burgers.


Grill the burgers on the barbecue for 8 minutes, or until cooked through, basting and turning regularly.


Slice the buns in half, lightly brush with olive oil, toast lightly on the barbecue.


Assemble the burger: Layer with relish, sliced tomato and watercress. Add the burgers, gherkins, red onion and more relish.

",https://veganuary.com/recipes/traditional-burger-with-sweet-tomato-relish/
Steak,Ginger chilli Tofu Steaks,"
Ingredients

1 pack of tofu (396g)
1 red chilli. Deseeded and finely chopped
3 tbsp tamari or dark soya sauce
Juice from 1 large orange
1 tsp coconut oil
3 balls of stem ginger, sliced finely into strips
1/2 tsp coconut sugar
Zest from 1 large orange
Black pepper
Optional: ½ tbsp Pulsin protein powder to thicken the sauce

","
Method
 

Drain the water from the tofu and blot. Slice into chunky steaks approximately 1.5cm thick.


In a container large enough to accommodate the tofu steaks, mix together the marinade ingredients: ginger, chilli, coconut sugar, tamari or soya sauce, orange zest, orange juice and black pepper. If you are using protein powder, add this to the sauce later.


Immerse the tofu steaks. Cover and pop in the fridge for at least an hour to allow the flavours of the marinade to soak in.


Melt coconut oil in a shallow pan. Drain the steaks from the sauce and on a low-heat pan-fry for about 8-10 mins, turning over half-way through with a fish-slice. Alternatively, you can grill the steaks (allow 9-10 mins).


While the steaks are cooking, mix in the protein powder to the sauce (if using) and heat gently in a saucepan. Pour over the steaks. Serve. Enjoy!

SO MAN
www.sobody.co.uk
Hello! I am So from SOBODYUK. I am a gym bunny, healthy food blogger & a geeky scientist! These days my lab is the kitchen! I love creating delicious, healthy, wholefood, clean-eating, nutrition-dense recipes to maximise performance & health. My recipes include paleo, low carb, vegan, vegetarian, gluten free.
",https://veganuary.com/recipes/ginger-chilli-tofu-steaks/
Burrito,Veggie Bean Burrito Bowl,"
Ingredients

2 flour tortilla wraps
1 small red onion, finely sliced
2 limes
1 400g tin of mixed beans, drained and rinsed
1 roasted red pepper, from a jar, roughly chopped
130g sweetcorn
Small bunch coriander, roughly chopped
4 radishes, finely sliced
1 avocado, peeled and sliced
1 tbsp olive oil, plus a little extra to brush the wraps with
4 heaped tbsp Alpro Plain Unsweetened Big Pot
1 tsp chipotle paste
Salt and pepper

","
Preparation
1. Preheat the oven to 180C. Cover the red onion with boiling hot water and leave for 5 mins. Drain the water and pat dry. Place in a small bowl, season well with salt and pepper and add the juice of 1 lime. Leave to macerate whilst you prepare the remaining ingredients.
2. Brush the flour tortillas with oil lightly. Use the underside of a muffin tray to shape the tortillas into a bowl pushing the middle section of each into the gaps to hold in place. Bake in the oven for 6-8 minutes or until golden brown and crisped.
3. Mix together the beans, sweetcorn, sliced radish, roasted red pepper, coriander, olive oil and juice of 1 lime. Season well with salt and pepper.
4. Marble the chipotle paste into the Alpro Plain Unsweetened Big Pot.
5. Spoon the beans into the tortilla bowls, top with the red onions, sliced avocado and a big dollop of the sauce.
",https://veganuary.com/recipes/veggie-bean-burrito-bowl/
Chicken,Vegan Chicken and Jalapeno Corn Salsa Quesadillas,"
Ingredients

1 pack of Quorn Vegan Chicken Free Slices
2 fresh jalapeno chillies, chopped
6 tbsp tinned sweetcorn, drained and rinsed
½ red onion, finely diced
1 avocado, de-stoned, peeled and finely chopped 
15g fresh coriander, finely chopped
1 tbsp lime juice
Salt and black pepper to taste
4 soft corn tortillas
100g vegan cheese, grated
1 tbsp oil

","
Preparation
To make the jalapeno corn salsa, place the chillies, sweetcorn, red onion, avocado, coriander, lime juice, salt and black pepper in a bowl and mix until combined. Set aside.
Place two tortillas on a chopping board or clean work surface. Divide the pack of Quorn Vegan Chicken Free Slices between the two tortillas, followed by the salsa and cheese. Place the two last tortillas on top to make your two quesadillas.
Place a large frying pan over a medium heat and brush the pan with the oil. Place one of the quesadillas into the pan. Fry for 2 minutes, before carefully flipping and frying for a further 2 minutes, until the cheese has melted. Repeat with the other quesadilla.
Cut each quesadilla into four pieces and serve immediately.
",https://veganuary.com/recipes/gluten-free-vegan-chicken-and-jalapeno-corn-salsa-quesadillas-by-quorn/
Quesadillas,Vegan Chicken and Jalapeno Corn Salsa Quesadillas,"
Ingredients

1 pack of Quorn Vegan Chicken Free Slices
2 fresh jalapeno chillies, chopped
6 tbsp tinned sweetcorn, drained and rinsed
½ red onion, finely diced
1 avocado, de-stoned, peeled and finely chopped 
15g fresh coriander, finely chopped
1 tbsp lime juice
Salt and black pepper to taste
4 soft corn tortillas
100g vegan cheese, grated
1 tbsp oil

","
Preparation
To make the jalapeno corn salsa, place the chillies, sweetcorn, red onion, avocado, coriander, lime juice, salt and black pepper in a bowl and mix until combined. Set aside.
Place two tortillas on a chopping board or clean work surface. Divide the pack of Quorn Vegan Chicken Free Slices between the two tortillas, followed by the salsa and cheese. Place the two last tortillas on top to make your two quesadillas.
Place a large frying pan over a medium heat and brush the pan with the oil. Place one of the quesadillas into the pan. Fry for 2 minutes, before carefully flipping and frying for a further 2 minutes, until the cheese has melted. Repeat with the other quesadilla.
Cut each quesadilla into four pieces and serve immediately.
",https://veganuary.com/recipes/gluten-free-vegan-chicken-and-jalapeno-corn-salsa-quesadillas-by-quorn/
Stir Fry,Tofu Holy Basil Stir-Fry,"
Ingredients

3 red bird’s eye chillies
3 garlic cloves
2 tablespoons vegetable oil
150g (5½oz) firm tofu or
textured vegetable protein,
cut into chunks
1 tablespoon light soy sauce
½ tablespoon dark soy sauce
½ tablespoon sugar
pinch of white pepper
½ onion, chopped
¼ red pepper, sliced
¼ yellow pepper, sliced
30g (1oz) yard-long beans or
green beans, cut into 2cm
(¾ inch) pieces
handful of Thai basil (holy basil) leaves
2 kaffir lime leaves, chopped
steamed jasmine rice, to serve

 
","
Method

Using either a pestle and mortar, grind the chillies and garlic to a paste.
Heat the oil in a wok set over a high heat. Add the chilli and garlic mixture and stir-fry for about 30 seconds, until nice and golden brown.
Now add the tofu or TVP chunks, both soy sauces, the palm sugar and white pepper and cook, tossing everything around in the pan, for about 1 minute, until the tofu or TVP is well coated and has taken on a little colour from the sauces.
Once everything is mixed well, add the onion, peppers and long beans and cook for a further 30 seconds, all the while tossing the mixture together. Throw in the basil and lime leaves and stir-fry for a further 30 seconds. Serve immediately with jasmine rice.

Did you enjoy this dish? Explore more vegan Thai recipes.
",https://veganuary.com/recipes/pad-kra-prow-taohu-tofu-holy-basil-stir-fry/
Fish & Chips,Vegan Fish & Chips,"
Ingredients
Banana blossoms
Flour mixture:
Plain flour
Salt
Dill  
Batter:
1 cup of all-purpose flour
1/2 cup of Mighty Pea M.lk (or your favourite plant milk)
1/2 cup of water
1/4 cup of baking powder
1 teaspoon of salt 
","
Method

Rinse and drain the banana blossoms before preparing your flour mixture and batter.
To prepare your batter, simply whisk together the flour, m.lk, water, baking powder and salt in a bowl until smooth.
Coat the banana blossoms in flour mixture and then dip the banana blossoms in the batter.
Fry until golden, removing any excess oil on a kitchen towel.

 Serve with a generous helping of chips and tomato ketchup.

For more recipes like this, sign up to Veganuary. You’ll get our celebrity cookbook, meal plans, nutritional advice, recipes and more – all for free! You can thank us later.
",https://veganuary.com/recipes/vegan-fish-chips/
Burger,Tooti Frooti Chicken Burger,"
Ingredients

2 Fry’s Chicken-Style Burgers
4 Whole-wheat Burger buns
4 red chilli
2 Tbsp olive oil
1 Tbsp smoked paprika
Egg-free mayonnaise, to serve
Red salad onions, thinly sliced
1 Mango, peeled and cut in small cubes
Thinly sliced pineapple, halved
1 Pomegranate

","
Preparation
Pre heat the oven to the recommended temperature for the burgers

Method

Bake the crumbed chicken burgers in a preheated oven for 10 minutes.


Chop the chillies and place in a small saucepan with the olive oil and smoked paprika and gently fry over a low heat for 2 to 3 minutes.


Serve the chicken burgers on the buns with a base of the chilli relish topped with a generous dollop of mayonnaise, sliced purple spring onions and fresh mango and pineapple and a spoonful of Pomegranate.

 
",https://veganuary.com/recipes/tooti-frooti-chickn-burger/
Fish & Chips,Tofish and Chips,"
Ingredients
280g Naked Tofoo (or similar)
3 tbsp olive oil
300g peas
3 tbsp vegan crème fraiche
800g potatoes such as King Edward
1 tbsp plain seasoned flour
100g self-rising flour
1 tsp dried seaweed, crumbled (optional)
100ml vegan ale
Oil for deep frying
","
Method

Preheat the oven to 200°C/180Fan Gas 6. Drain the Tofoo and pat dry.
Peel the potatoes and cut into chips, bring a large pan of lightly salted water to the boil and cook the cut potato for 5 minutes, drain well then toss with the olive oil. Spread out onto a non stick baking tray and cook in the oven for 30 minutes, turning half way through cooking time.
While the chips are cooking, Cook the peas in a pan of boiling water for 5 minutes, drain and tip into a food processor with the crème fraiche, blitz until well combined .Heat gently.
Cut the Tofoo into 4 slabs and dust in the seasoned flour. Blitz the self-rising flour with the seaweed and add the ale, blitz again until you have a smooth creamy batter.
Heat about 8cm oil in a pan to 180°C. Take a piece of tofu and dip in the batter to coat evenly, carefully lower into the hot fat and cook for 2 to 3 minutes, until golden and crispy. Repeat with the other 3 pieces.
Serve cooked Tofish with chips and a spoon full of peas, garnish with lemon wedges.

",https://veganuary.com/recipes/tofish-and-chips/
Turkey,Crispy Tofu Turkey,"
Ingredients

3x Tofu blocks, extra firm, hand broken into bite size pieces
1 cup flour
1 cup rice flour or corn starch
½ cup breadcrumbs, fine
4 Tbsp parsley, chopped fine
3 Tbsp Wicked Sage-onion-garlic seasoning (or similar)
1 tsp granulated onion
Salt & black pepper
Oil

","
Method

Make sure you have the firmest tofu you can purchase.
Carefully tear apart the tofu into bite size pieces and place into a large bowl.
In a medium sized bowl add the rest of the ingredients (except for the oil) and mix well.
Add each piece of tofu to the seasoned flour to coat completely and evenly on all side.
In a medium cast iron pan (or sauté pan) add enough oil to cover the bottom about 1 cm deep.
Heat on med-high heat until hot.
When the oil is hot, begin by adding 6-7 pieces of breaded tofu to the pan at time and pan fry each side until completely golden brown. When done remove from oil and place on paper towel lined plate to dry.
When ready to serve preheat oven to 200c/400f.
Place the crispy tofu onto a baking sheet and roast in oven for 15 minutes.
Remove from oven and serve with our vegan gravy and all the fixings.

Explore more vegan Christmas and Thanksgiving recipes.
",https://veganuary.com/recipes/country-fried-crispy-tofu-turkey/
Meatballs,Mighty Meatballs,"
Ingredients
For the ‘meatballs’
1 x 400g tinned red kidney beans (drained and rinsed)
1/2 red onion roughly chopped
2 garlic cloves
35g oats
30g walnuts
4 tbsp nutritional yeast
1 tsp dried oregano
1/2 tsp salt
1/2 tsp pepper
Small handful of fresh basil
For the sauce
1/2 red onion sliced
1 carrot diced
120ml vegan red wine
120ml vegetable stock
300g Tideford Organics Tomato & Basil Sauce (or similar)
Oil for frying
","
Method

Preheat the oven to 200°C and line a baking tray with greaseproof paper unless you’re using a non stick tray.
Add the meatball ingredients to a food processor and process the ingredients together until the mixture reaches a rough consistency, ensuring some larger pieces remain. It’s really important you avoid processing the ingredients for too long, otherwise the meatballs will turn into a mush!
Take roughly a tbsp of the mixture in your hand and roll it into a ball, then place it on the baking tray. Repeat until all the mixture has been used up and you’re left with 12 balls.
Transfer the baking tray to the oven and bake the balls for 20 minutes.
Meanwhile, prepare the sauce by first adding a little oil to a frying pan on a medium heat. When the oil is hot, add the red onion and fry for 3 minutes. Then add the carrot and fry for a further 3 minutes, stirring occasionally.
Next, add the wine to the pan and simmer on a low heat for 5 minutes.
Then add the vegetable stock, sauce, and finally add the meatballs to the pan. Simmer for 10-12 minutes, or until the sauce has started to thicken.
Remove the pan from the hob and serve. We recommend serving with mashed potato and a sprinkle of basil. Enjoy!

Did you enjoy this dish? Check out more of our budget-friendly vegan recipes. 
",https://veganuary.com/recipes/mighty-meatballs-so-vegan/
Skewers,Breaded Chicken Skewers & Vegan Honey BBQ Sauce,"
Ingredients
2 packs Like Meat Breaded Chicken (180g x 2)
Vegan honey BBQ sauce (recipe below)
Vegetables of choice, for example red pepper, red onion, courgette and baby tomatoes.
Vegan Honey BBQ Sauce:
200g ketchup
100g vegan honey, alternatively use agave or maple syrup
50g cider vinegar
3 tsp brown sugar
1 tsp liquid smoke
1 tsp paprika
½ tsp chilli powder
1 tsp onion powder
¾ tsp garlic powder
½ tsp salt
½ tsp ground black pepper
A little vegetable oil
","
Method
Defrost the Like Breaded Chicken fillets.
Make the Vegan Honey BBQ Sauce:
Measure out ketchup, honey, vinegar and brown sugar into a small saucepan and heat gently, stirring until smooth. Stir the liquid smoke and the rest of the ingredients into the ketchup mixture, reduce heat to low, and simmer until thickened, about 20 minutes.
While the sauce is simmering, chop your veggies chunkily. Toss in a little oil to coat.
Carefully cut each Like Breaded Chicken fillet into 5-6 pieces with a sharp knife and place in a large bowl/tub.
When the Vegan Honey BBQ Sauce is ready, drizzle it over the Like Breaded Chicken pieces and stir gently to ensure they’re evenly coated.
Thread veggies and the sauce coated Like Breaded Chicken pieced onto skewers. (If using wooden skewers, wet them first to avoid them burning when grilling.)
Cook skewers on the barbecue for around 20 mins until piping hot, turning regularly, and veggies are nicely charred round the edges.
If the weather is not right for a barbecue, you can cook the dish in an oven proof tray in the middle of the oven, pre-heated to 200°c.
Serve the Like Breaded Chicken skewers with a fresh summer salad and boiled new potatoes, tossed in plant based butter and topped with chopped fresh chives.
Recipe & photo: Rachel Clarke @myvegandiary87 
 
",https://veganuary.com/recipes/like-breaded-chicken-skewers-bbq-sauce/
Tacos,Mac Daddy Taco Platter,"
Ingredients

FOR THE WICKED HEALTHY BASE CHEEZ SAUCE:
1 large White onion, diced and steam sautéed until translucent
1 Cup / 200g Raw Cashews, soaked in water for couple hours then drained
3 Cups / 750ml Unsweetened Soymilk
18 cloves Garlic, boiled soft
1/2 Cup / 120ml White wine
3 Tbsp Nutritional yeast
2 Tbsp Red or White Miso
1 tsp Onion powder
1 tsp Smoked paprika
1/2 tsp Black pepper
1/2 tsp. White pepper
1/2 tsp Salt
1/2 tsp Turmeric optional, for colour
400g Macaroni
FOR THE TACO PLATTER:
8-12 fresh tortillas (3-4 inch)
2 cups / 500ml Wicked Healthy Base Cheez Sauce
smoked hot sauce powder (or cayenne & smoked paprika mixed)
sriracha sauce
1/4 head red cabbage, shredded
8-12 fresh basil leaves

","
Preparation
Serves 6

Method
To make the Mac and Cheez

Dice and steam sauté the Onion with a splash or two of water or wine, no oil is needed, no need to bother with the extra empty calories.
Add warm onions and rest of ingredients to high powered blender.
Blend all ingredients for couple minutes making sure mixture is wicked smooth.
Add about half of the sauce to the drained hot pasta and mix well.

To make the Taco Platter:

Preheat oven to 350.
Warm tortillas and fill each compartment in the cast iron pan.
Spoon the mac and cheese into each tortilla mould.
Sprinkle the tops with powdered hot sauce and sriracha.
Bake at 350 degrees for 15 minutes.
Remove and top with more sriracha as desired, topping with the cabbage shreds and basil.

 
",https://veganuary.com/recipes/mac-daddy-taco-platter/
