feature
"Jamaica,400-500,70-90,30-50,20-30,2.0-2.5,N/A,N/A"
"Japan,700-800,100-120,50-80,30-40,2.0-2.5,7-9,3-4"
"Jordan,600-700,90-110,40-60,30-40,2.0-2.5,N/A,N/A"
"Kazakhstan,600-700,90-110,40-60,30-40,2.0-2.5,7-9,3-4"
"Kenya,400-500,70-90,30-50,20-30,2.0-2.5,N/A,N/A"
"Kiribati,400-500,70-90,30-50,20-30,2.0-2.5,N/A,N/A"
"Kuwait,600-700,80-100,40-60,30-40,2.0-2.5,N/A,N/A"
"Kyrgyzstan,600-700,80-100,40-60,30-40,2.0-2.5,7-9,3-4"
"Lao People's Democratic Republic,400-500,70-90,30-50,20-30,2.0-2.5,N/A,N/A"
"Latvia,700-800,100-120,50-80,30-40,2.0-2.5,7-9,3-4"
"Lebanon,600-700,90-110,40-60,30-40,2.0-2.5,7-9,3-4"
"Lesotho,400-500,70-90,30-50,20-30,2.0-2.5,N/A,N/A"
"Liberia,400-500,70-90,30-50,20-30,2.0-2.5,N/A,N/A"
"Libya,600-700,80-100,40-60,30-40,2.0-2.5,N/A,N/A"
"Lithuania,700-800,100-120,50-80,30-40,2.0-2.5,7-9,3-4"

"Luxembourg,700-800,100-120,50-80,30-40,2.0-2.5,7-9,3-4"
"Madagascar,400-500,70-90,30-50,20-30,2.0-2.5,N/A,N/A"
"Malawi,400-500,70-90,30-50,20-30,2.0-2.5,N/A,N/A"
"Malaysia,600-700,80-100,40-60,30-40,2.0-2.5,7-9,3-4"
"Mali,400-500,70-90,30-50,20-30,2.0-2.5,N/A,N/A"
"Malta,600-700,90-110,40-60,30-40,2.0-2.5,7-9,3-4"
"Martinique,400-500,70-90,30-50,20-30,2.0-2.5,N/A,N/A"
"Mauritania,400-500,70-90,30-50,20-30,2.0-2.5,N/A,N/A"
"Mauritius,400-500,70-90,30-50,20-30,2.0-2.5,N/A,N/A"
"Mexico,600-700,90-110,40-60,30-40,2.0-2.5,7-9,3-4"
"Micronesia (Federated States of),400-500,70-90,30-50,20-30,2.0-2.5,N/A,N/A"
"Mongolia,400-500,70-90,30-50,20-30,2.0-2.5,N/A,N/A"
"Montenegro,700-800,100-120,50-80,30-40,2.0-2.5,7-9,3-4"
"Morocco,400-500,70-90,30-50,20-30,2.0-2.5,N/A,N/A"
"Mozambique,400-500,70-90,30-50,20-30,2.0-2.5,N/A,N/A"
"Myanmar,400-500,70-90,30-50,20-30,2.0-2.5,N/A,N/A"
"Namibia,400-500,70-90,30-50,20-30,2.0-2.5,N/A,N/A"
"Nauru,400-500,70-90,30-50,20-30,2.0-2.5,N/A,N/A"
"Nepal,400-500,70-90,30-50,20-30,2.0-2.5,N/A,N/A"
"Netherlands (Kingdom of the),700-800,110-130,50-80,30-40,2.0-2.5,7-9,3-4"
"New Caledonia,400-500,70-90,30-50,20-30,2.0-2.5,N/A,N/A"
"New Zealand,700-800,100-120,50-80,30-40,2.0-2.5,7-9,3-4"
"Nicaragua,600-700,90-110,40-60,30-40,2.0-2.5,N/A,N/A"
"Niger,400-500,70-90,30-50,20-30,2.0-2.5,N/A,N/A"
"Nigeria,400-500,70-90,30-50,20-30,2.0-2.5,N/A,N/A"
"Niue,700-800,100-120,50-80,30-40,2.0-2.5,7-9,3-4"
"North Macedonia,700-800,100-120,50-80,30-40,2.0-2.5,7-9,3-4"
"Norway,700-800,100-120,50-80,30-40,2.0-2.5,7-9,3-4"
"Oman,600-700,80-100,40-60,30-40,2.0-2.5,N/A,N/A"
"Pakistan,400-500,70-90,30-50,20-30,2.0-2.5,N/A,N/A"
"Palestine,600-700,90-110,40-60,30-40,2.0-2.5,N/A,N/A"
"Panama,600-700,90-110,40-60,30-40,2.0-2.5,N/A,N/A"
"Papua New Guinea,400-500,70-90,30-50,20-30,2.0-2.5,N/A,N/A"
"Paraguay,600-700,90-110,40-60,30-40,2.0-2.5,N/A,N/A"
"Peru,600-700,90-110,40-60,30-40,2.0-2.5,N/A,N/A"
"Philippines,400-500,70-90,30-50,20-30,1.5-2.0,N/A,N/A"
"Poland,700-800,100-120,50-80,30-40,2.0-2.5,7-9,3-4"
"Portugal,700-800,100-120,50-80,30-40,2.0-2.5,7-9,3-4"
"Puerto Rico,600-700,90-110,40-60,30-40,2.0-2.5,N/A,N/A"
"Qatar,600-700,80-100,40-60,30-40,2.0-2.5,N/A,N/A"
"Republic of Korea,600-700,80-100,40-60,30-40,2.0-2.5,7-9,3-4"
"Republic of Moldova,700-800,100-120,50-80,30-40,2.0-2.5,7-9,3-4"
"Romania,700-800,100-120,50-80,30-40,2.0-2.5,7-9,3-4"
"Russian Federation,700-800,100-120,50-80,30-40,2.0-2.5,7-9,3-4"
"Rwanda,400-500,70-90,30-50,20-30,2.0-2.5,N/A,N/A"
"Réunion,400-500,70-90,30-50,20-30,2.0-2.5,N/A,N/A"
"Saint Kitts and Nevis,400-500,70-90,30-50,20-30,2.0-2.5,N/A,N/A"
"Saint Lucia,400-500,70-90,30-50,20-30,2.0-2.5,N/A,N/A"

"Sao Tome and Principe,400-500,70-90,30-50,20-30,2.0-2.5,N/A,N/A"
"Saudi Arabia,600-700,80-100,40-60,30-40,2.0-2.5,7-9,3-4"
"Senegal,400-500,70-90,30-50,20-30,2.0-2.5,N/A,N/A"
"Serbia,700-800,100-120,50-80,30-40,2.0-2.5,7-9,3-4"
"Seychelles,400-500,70-90,30-50,20-30,2.0-2.5,N/A,N/A"
"Sierra Leone,400-500,70-90,30-50,20-30,2.0-2.5,N/A,N/A"
"Singapore,600-700,90-110,40-60,30-40,2.0-2.5,7-9,3-4"
"Slovakia,700-800,100-120,50-80,30-40,2.0-2.5,7-9,3-4"
"Slovenia,700-800,100-120,50-80,30-40,2.0-2.5,7-9,3-4"
"Solomon Islands,400-500,70-90,30-50,20-30,2.0-2.5,N/A,N/A"
"Somalia,400-500,70-90,30-50,20-30,2.0-2.5,N/A,N/A"
"South Africa,400-500,70-90,30-50,20-30,2.0-2.5,N/A,N/A"
"South Sudan,400-500,70-90,30-50,20-30,2.0-2.5,N/A,N/A"
"Spain,700-800,100-120,50-80,30-40,2.0-2.5,7-9,3-4"
"Sri Lanka,400-500,70-90,30-50,20-30,2.0-2.5,N/A,N/A"
"Sudan,400-500,70-90,30-50,20-30,2.0-2.5,N/A,N/A"
"Suriname,400-500,70-90,30-50,20-30,2.0-2.5,N/A,N/A"
"Sweden,700-800,100-120,50-80,30-40,2.0-2.5,7-9,3-4"
"Switzerland,700-800,110-130,50-80,30-40,2.0-2.5,7-9,3-4"
"Syrian Arab Republic,600-700,80-100,40-60,30-40,2.0-2.5,N/A,N/A"
"Tajikistan,600-700,80-100,40-60,30-40,2.0-2.5,7-9,3-4"
"Thailand,600-700,90-110,40-60,30-40,2.0-2.5,7-9,3-4"
"Timor-Leste,400-500,70-90,30-50,20-30,2.0-2.5,N/A,N/A"
"Togo,400-500,70-90,30-50,20-30,2.0-2.5,N/A,N/A"
"Tokelau,700-800,100-120,50-80,30-40,2.0-2.5,7-9,3-4"
"Tonga,400-500,70-90,30-50,20-30,2.0-2.5,N/A,N/A"
"Trinidad and Tobago,600-700,90-110,40-60,30-40,2.0-2.5,N/A,N/A"
"Tunisia,600-700,90-110,40-60,30-40,2.0-2.5,7-9,3-4"
"Turkmenistan,600-700,80-100,40-60,30-40,2.0-2.5,N/A,N/A"
"Tuvalu,600-700,100-120,40-60,30-40,2.0-3.0,7-9,3-4"
"Türkiye,600-700,80-100,40-60,30-40,2.0-2.5,7-9,3-4"
"Uganda,400-500,70-90,30-50,20-30,2.0-2.5,N/A,N/A"
"Ukraine,700-800,100-120,50-80,30-40,2.0-2.5,7-9,3-4"
"United Arab Emirates,600-700,80-100,40-60,30-40,2.0-2.5,N/A,N/A"
"United Kingdom of Great Britain and Northern Ireland,700-800,110-130,50-80,30-40,2.0-2.5,7-9,3-4"
"United Republic of Tanzania,400-500,70-90,30-50,20-30,2.0-2.5,N/A,N/A"
"United States of America,700-800,110-130,50-80,30-40,2.0-2.5,7-9,3-4"
"Uruguay,600-700,90-110,40-60,30-40,2.0-2.5,N/A,N/A"
"Uzbekistan,600-700,80-100,40-60,30-40,2.0-2.5,7-9,3-4"
"Vanuatu,400-500,70-90,30-50,20-30,2.0-2.5,N/A,N/A"
"Venezuela (Bolivarian Republic of),600-700,90-110,40-60,30-40,2.0-2.5,N/A,N/A"
"Viet Nam,600-700,90-110,40-60,30-40,2.0-2.5,7-9,3-4"
"Yemen,400-500,70-90,30-50,20-30,2.0-2.5,N/A,N/A"
"Zambia,400-500,70-90,30-50,20-30,2.0-2.5,N/A,N/A"
"Zimbabwe,400-500,70-90,30-50,20-30,2.0-2.5,N/A,N/A"
